Year,Month,Location,Category,Ideal Cost,Actual Cost,Variance
2020,January,Porvorim,Spices,5.74,5.8,0.06
2020,January,Porvorim,Vegetables,2.9,2.74,-0.16
2020,February,Panaji,Bakery,1.15,1.09,-0.06
2020,February,Panaji,Beverages,1.77,1.88,0.11
2020,February,Panaji,Fruits,1.73,1.98,0.25
2020,February,Panaji,Groceries,10.83,10.39,-0.44
2020,February,Panaji,Milk Products,2.93,2.65,-0.28
2020,February,Panaji,Ready to eat,1.77,1.96,0.19
2020,February,Panaji,Spices,5.81,5.59,-0.22
2020,February,Panaji,Vegetables,2.89,2.94,0.05
2020,February,Khorlim,Bakery,1.13,1.11,-0.02
2020,February,Khorlim,Beverages,1.84,1.99,0.15
2020,February,Khorlim,Fruits,1.79,1.77,-0.02
2020,February,Khorlim,Groceries,10.6,10.87,0.27
2020,February,Khorlim,Milk Products,2.83,2.79,-0.04
2020,February,Khorlim,Ready to eat,1.96,1.81,-0.15
2020,February,Khorlim,Spices,5.4,5.92,0.52
2020,February,Khorlim,Vegetables,2.65,3,0.35
2020,February,KTC,Bakery,1.19,1.08,-0.11
2020,February,KTC,Beverages,1.75,1.89,0.14
2020,February,KTC,Fruits,1.85,1.92,0.07
2020,February,KTC,Groceries,10.76,10.42,-0.34
2020,February,KTC,Milk Products,2.89,2.62,-0.27
2020,February,KTC,Ready to eat,1.8,1.79,-0.01
2020,February,KTC,Spices,5.44,5.82,0.38
2020,February,KTC,Vegetables,2.98,2.75,-0.23
2020,February,Margao,Bakery,1.12,1.12,0
2020,February,Margao,Beverages,1.75,1.87,0.12
2020,February,Margao,Fruits,1.98,1.81,-0.17
2020,February,Margao,Groceries,11.53,11.7,0.17
2020,February,Margao,Milk Products,2.98,2.74,-0.24
2020,February,Margao,Ready to eat,1.81,1.83,0.02
2020,February,Margao,Spices,5.23,5.82,0.59
2020,February,Margao,Vegetables,2.79,2.79,0
2020,February,Siolim,Bakery,1.16,1.06,-0.1
2020,February,Siolim,Beverages,1.93,1.76,-0.17
2020,February,Siolim,Fruits,1.86,1.88,0.02
2020,February,Siolim,Groceries,10.74,10.49,-0.25
2020,February,Siolim,Milk Products,2.69,2.62,-0.07
2020,February,Siolim,Ready to eat,1.73,1.85,0.12
2020,February,Siolim,Spices,5.32,5.73,0.41
2020,February,Siolim,Vegetables,2.76,2.87,0.11
2020,February,Baga,Bakery,1.13,1.14,0.01
2020,February,Baga,Beverages,1.99,1.81,-0.18
2020,February,Baga,Fruits,1.81,1.97,0.16
2020,February,Baga,Groceries,11.88,11.46,-0.42
2020,February,Baga,Milk Products,2.68,2.8,0.12
2020,February,Baga,Ready to eat,1.87,1.76,-0.11
2020,February,Baga,Spices,5.94,5.45,-0.49
2020,February,Baga,Vegetables,2.9,2.76,-0.14
2020,February,Porvorim,Bakery,1.1,1.14,0.04
2020,February,Porvorim,Beverages,1.78,1.81,0.03
2020,February,Porvorim,Fruits,1.9,1.84,-0.06
2020,February,Porvorim,Groceries,11.51,11.76,0.25
2020,February,Porvorim,Milk Products,2.85,2.65,-0.2
2020,February,Porvorim,Ready to eat,1.77,1.75,-0.02
2020,February,Porvorim,Spices,5.81,5.19,-0.62
2020,February,Porvorim,Vegetables,2.85,2.79,-0.06
2020,March,Panaji,Bakery,1.15,1.19,0.04
2020,March,Panaji,Beverages,1.91,1.83,-0.08
2020,March,Panaji,Fruits,1.85,1.81,-0.04
2020,March,Panaji,Groceries,12,11.9,-0.1
2020,March,Panaji,Milk Products,2.66,2.85,0.19
2020,March,Panaji,Ready to eat,1.84,1.99,0.15
2020,March,Panaji,Spices,5.77,5.21,-0.56
2020,March,Panaji,Vegetables,2.83,2.76,-0.07
2020,March,Khorlim,Bakery,1.11,1.12,0.01
2020,March,Khorlim,Beverages,1.98,1.81,-0.17
2020,March,Khorlim,Fruits,1.81,1.77,-0.04
2020,March,Khorlim,Groceries,11.13,11.89,0.76
2020,March,Khorlim,Milk Products,2.79,2.83,0.04
2020,March,Khorlim,Ready to eat,1.86,1.77,-0.09
2020,March,Khorlim,Spices,5.37,5.73,0.36
2020,March,Khorlim,Vegetables,2.97,2.87,-0.1
2020,March,KTC,Bakery,1.11,1.12,0.01
2020,March,KTC,Beverages,1.86,1.75,-0.11
2020,March,KTC,Fruits,1.92,1.74,-0.18
2020,March,KTC,Groceries,11.15,11.07,-0.08
2020,March,KTC,Milk Products,2.7,2.78,0.08
2020,March,KTC,Ready to eat,1.77,1.96,0.19
2020,March,KTC,Spices,5.99,5.25,-0.74
2020,March,KTC,Vegetables,2.82,2.66,-0.16
2020,March,Margao,Bakery,1.11,1.13,0.02
2020,March,Margao,Beverages,1.76,1.91,0.15
2020,March,Margao,Fruits,1.75,1.89,0.14
2020,March,Margao,Groceries,11.02,11.3,0.28
2020,March,Margao,Milk Products,2.67,2.64,-0.03
2020,March,Margao,Ready to eat,1.88,1.75,-0.13
2020,March,Margao,Spices,5.87,5.92,0.05
2020,March,Margao,Vegetables,2.92,2.88,-0.04
2020,March,Siolim,Bakery,1.09,1.07,-0.02
2020,March,Siolim,Beverages,1.97,1.79,-0.18
2020,March,Siolim,Fruits,1.77,1.75,-0.02
2020,March,Siolim,Groceries,10.65,11.19,0.54
2020,March,Siolim,Milk Products,2.61,2.92,0.31
2020,March,Siolim,Ready to eat,1.78,1.98,0.2
2020,March,Siolim,Spices,5.55,5.72,0.17
2020,March,Siolim,Vegetables,2.93,2.62,-0.31
2020,March,Baga,Bakery,1.06,1.12,0.06
2020,March,Baga,Beverages,1.79,1.77,-0.02
2020,March,Baga,Fruits,1.97,1.79,-0.18
2020,March,Baga,Groceries,10.85,10.62,-0.23
2020,March,Baga,Milk Products,2.92,2.71,-0.21
2020,March,Baga,Ready to eat,1.83,1.88,0.05
2020,March,Baga,Spices,5.39,5.41,0.02
2020,March,Baga,Vegetables,2.99,2.86,-0.13
2020,March,Porvorim,Bakery,1.15,1.08,-0.07
2020,March,Porvorim,Beverages,1.98,1.96,-0.02
2020,March,Porvorim,Fruits,1.97,1.83,-0.14
2020,March,Porvorim,Groceries,10.85,11.39,0.54
2020,March,Porvorim,Milk Products,2.74,2.71,-0.03
2020,March,Porvorim,Ready to eat,1.75,1.74,-0.01
2020,March,Porvorim,Spices,5.59,5.42,-0.17
2020,March,Porvorim,Vegetables,2.95,2.83,-0.12
2020,April,Panaji,Bakery,1.13,1.08,-0.05
2020,April,Panaji,Beverages,1.99,1.89,-0.1
2020,April,Panaji,Fruits,1.75,1.79,0.04
2020,April,Panaji,Groceries,10.69,11.67,0.98
2020,April,Panaji,Milk Products,2.98,2.89,-0.09
2020,April,Panaji,Ready to eat,1.83,1.8,-0.03
2020,April,Panaji,Spices,5.75,5.33,-0.42
2020,April,Panaji,Vegetables,2.82,2.91,0.09
2020,April,Khorlim,Bakery,1.13,1.1,-0.03
2020,April,Khorlim,Beverages,1.98,1.77,-0.21
2020,April,Khorlim,Fruits,1.86,1.83,-0.03
2020,April,Khorlim,Groceries,11.85,11.57,-0.28
2020,April,Khorlim,Milk Products,2.98,2.7,-0.28
2020,April,Khorlim,Ready to eat,1.88,1.96,0.08
2020,April,Khorlim,Spices,5.68,5.44,-0.24
2020,April,Khorlim,Vegetables,2.73,2.81,0.08
2020,April,KTC,Bakery,1.05,1.06,0.01
2020,April,KTC,Beverages,1.87,1.75,-0.12
2020,April,KTC,Fruits,1.99,1.88,-0.11
2020,April,KTC,Groceries,10.6,11.8,1.2
2020,April,KTC,Milk Products,2.73,2.91,0.18
2020,April,KTC,Ready to eat,1.96,1.83,-0.13
2020,April,KTC,Spices,5.2,5.55,0.35
2020,April,KTC,Vegetables,2.67,2.91,0.24
2020,April,Margao,Bakery,1.13,1.04,-0.09
2020,April,Margao,Beverages,1.99,1.91,-0.08
2020,April,Margao,Fruits,1.89,1.79,-0.1
2020,April,Margao,Groceries,11.75,11.53,-0.22
2020,April,Margao,Milk Products,2.77,2.87,0.1
2020,April,Margao,Ready to eat,1.98,1.77,-0.21
2020,April,Margao,Spices,5.62,5.74,0.12
2020,April,Margao,Vegetables,2.93,2.82,-0.11
2020,April,Siolim,Bakery,1.12,1.05,-0.07
2020,April,Siolim,Beverages,1.8,1.87,0.07
2020,April,Siolim,Fruits,1.8,1.97,0.17
2020,April,Siolim,Groceries,11.94,11.51,-0.43
2020,April,Siolim,Milk Products,2.97,2.6,-0.37
2020,April,Siolim,Ready to eat,1.76,1.93,0.17
2020,April,Siolim,Spices,5.57,5.41,-0.16
2020,April,Siolim,Vegetables,2.83,3,0.17
2020,April,Baga,Bakery,1.08,1.1,0.02
2020,April,Baga,Beverages,1.75,1.78,0.03
2020,April,Baga,Fruits,1.8,1.98,0.18
2020,April,Baga,Groceries,11.27,10.65,-0.62
2020,April,Baga,Milk Products,2.82,2.83,0.01
2020,April,Baga,Ready to eat,1.94,1.88,-0.06
2020,April,Baga,Spices,5.5,5.39,-0.11
2020,April,Baga,Vegetables,2.66,2.98,0.32
2020,April,Porvorim,Bakery,1.14,1.14,0
2020,April,Porvorim,Beverages,1.9,2,0.1
2020,April,Porvorim,Fruits,1.91,1.89,-0.02
2020,April,Porvorim,Groceries,11.82,11.41,-0.41
2020,April,Porvorim,Milk Products,2.8,2.93,0.13
2020,April,Porvorim,Ready to eat,1.85,1.9,0.05
2020,April,Porvorim,Spices,5.81,5.34,-0.47
2020,April,Porvorim,Vegetables,2.7,2.74,0.04
2020,May,Panaji,Bakery,1.2,1.1,-0.1
2020,May,Panaji,Beverages,1.77,1.91,0.14
2020,May,Panaji,Fruits,1.79,1.93,0.14
2020,May,Panaji,Groceries,11.46,10.61,-0.85
2020,May,Panaji,Milk Products,2.72,2.87,0.15
2020,May,Panaji,Ready to eat,1.84,1.84,0
2020,May,Panaji,Spices,5.32,5.9,0.58
2020,May,Panaji,Vegetables,2.93,2.75,-0.18
2020,May,Khorlim,Bakery,1.16,1.18,0.02
2020,May,Khorlim,Beverages,1.76,1.74,-0.02
2020,May,Khorlim,Fruits,1.92,1.89,-0.03
2020,May,Khorlim,Groceries,10.99,10.39,-0.6
2020,May,Khorlim,Milk Products,2.69,2.87,0.18
2020,May,Khorlim,Ready to eat,1.94,1.78,-0.16
2020,May,Khorlim,Spices,5.69,5.76,0.07
2020,May,Khorlim,Vegetables,2.92,2.96,0.04
2020,May,KTC,Bakery,1.05,1.17,0.12
2020,May,KTC,Beverages,1.81,1.99,0.18
2020,May,KTC,Fruits,1.89,1.98,0.09
2020,May,KTC,Groceries,11.48,11.72,0.24
2020,May,KTC,Milk Products,2.76,2.69,-0.07
2020,May,KTC,Ready to eat,1.77,1.89,0.12
2020,May,KTC,Spices,5.37,5.82,0.45
2020,May,KTC,Vegetables,2.96,2.77,-0.19
2020,May,Margao,Bakery,1.06,1.14,0.08
2020,May,Margao,Beverages,1.95,1.9,-0.05
2020,May,Margao,Fruits,1.8,1.95,0.15
2020,May,Margao,Groceries,11.33,11.77,0.44
2020,May,Margao,Milk Products,2.87,2.81,-0.06
2020,May,Margao,Ready to eat,1.96,1.79,-0.17
2020,May,Margao,Spices,5.87,5.64,-0.23
2020,May,Margao,Vegetables,2.68,2.72,0.04
2020,May,Siolim,Bakery,1.07,1.17,0.1
2020,May,Siolim,Beverages,1.9,1.89,-0.01
2020,May,Siolim,Fruits,1.99,1.85,-0.14
2020,May,Siolim,Groceries,10.5,11.81,1.31
2020,May,Siolim,Milk Products,2.79,2.78,-0.01
2020,May,Siolim,Ready to eat,1.78,1.9,0.12
2020,May,Siolim,Spices,5.72,5.21,-0.51
2020,May,Siolim,Vegetables,2.97,2.89,-0.08
2020,May,Baga,Bakery,1.16,1.14,-0.02
2020,May,Baga,Beverages,1.75,1.86,0.11
2020,May,Baga,Fruits,1.86,1.93,0.07
2020,May,Baga,Groceries,10.56,11.33,0.77
2020,May,Baga,Milk Products,2.76,2.67,-0.09
2020,May,Baga,Ready to eat,1.95,1.91,-0.04
2020,May,Baga,Spices,5.69,5.57,-0.12
2020,May,Baga,Vegetables,2.65,2.79,0.14
2020,May,Porvorim,Bakery,1.2,1.1,-0.1
2020,May,Porvorim,Beverages,1.78,1.74,-0.04
2020,May,Porvorim,Fruits,1.99,1.81,-0.18
2020,May,Porvorim,Groceries,11.17,10.85,-0.32
2020,May,Porvorim,Milk Products,2.92,2.97,0.05
2020,May,Porvorim,Ready to eat,1.92,1.96,0.04
2020,May,Porvorim,Spices,5.42,5.2,-0.22
2020,May,Porvorim,Vegetables,2.83,2.64,-0.19
2020,June,Panaji,Bakery,1.08,1.16,0.08
2020,June,Panaji,Beverages,1.81,1.92,0.11
2020,June,Panaji,Fruits,1.73,1.79,0.06
2020,June,Panaji,Groceries,10.61,11.05,0.44
2020,June,Panaji,Milk Products,2.8,2.88,0.08
2020,June,Panaji,Ready to eat,1.75,1.92,0.17
2020,June,Panaji,Spices,5.19,5.23,0.04
2020,June,Panaji,Vegetables,2.95,2.87,-0.08
2020,June,Khorlim,Bakery,1.09,1.16,0.07
2020,June,Khorlim,Beverages,1.85,1.81,-0.04
2020,June,Khorlim,Fruits,1.87,1.79,-0.08
2020,June,Khorlim,Groceries,10.85,11.95,1.1
2020,June,Khorlim,Milk Products,2.75,2.72,-0.03
2020,June,Khorlim,Ready to eat,2,1.96,-0.04
2020,June,Khorlim,Spices,5.67,5.26,-0.41
2020,June,Khorlim,Vegetables,2.68,2.7,0.02
2020,June,KTC,Bakery,1.09,1.15,0.06
2020,June,KTC,Beverages,1.78,1.77,-0.01
2020,June,KTC,Fruits,1.89,1.75,-0.14
2020,June,KTC,Groceries,11.35,10.47,-0.88
2020,June,KTC,Milk Products,2.69,2.85,0.16
2020,June,KTC,Ready to eat,1.78,1.75,-0.03
2020,June,KTC,Spices,5.92,5.41,-0.51
2020,June,KTC,Vegetables,2.74,2.78,0.04
2020,June,Margao,Bakery,1.07,1.05,-0.02
2020,June,Margao,Beverages,1.96,1.84,-0.12
2020,June,Margao,Fruits,1.89,1.96,0.07
2020,June,Margao,Groceries,10.68,11.29,0.61
2020,June,Margao,Milk Products,2.99,2.82,-0.17
2020,June,Margao,Ready to eat,1.84,1.73,-0.11
2020,June,Margao,Spices,5.9,5.7,-0.2
2020,June,Margao,Vegetables,2.8,2.96,0.16
2020,June,Siolim,Bakery,1.13,1.1,-0.03
2020,June,Siolim,Beverages,1.79,1.9,0.11
2020,June,Siolim,Fruits,1.99,1.96,-0.03
2020,June,Siolim,Groceries,10.7,11.13,0.43
2020,June,Siolim,Milk Products,2.76,2.99,0.23
2020,June,Siolim,Ready to eat,1.8,1.75,-0.05
2020,June,Siolim,Spices,5.72,5.54,-0.18
2020,June,Siolim,Vegetables,2.94,2.89,-0.05
2020,June,Baga,Bakery,1.15,1.06,-0.09
2020,June,Baga,Beverages,1.81,1.89,0.08
2020,June,Baga,Fruits,1.95,1.9,-0.05
2020,June,Baga,Groceries,11.33,10.97,-0.36
2020,June,Baga,Milk Products,2.69,2.84,0.15
2020,June,Baga,Ready to eat,2,1.8,-0.2
2020,June,Baga,Spices,5.61,5.69,0.08
2020,June,Baga,Vegetables,2.6,2.74,0.14
2020,June,Porvorim,Bakery,1.09,1.12,0.03
2020,June,Porvorim,Beverages,1.87,2,0.13
2020,June,Porvorim,Fruits,1.81,1.82,0.01
2020,June,Porvorim,Groceries,10.91,11.26,0.35
2020,June,Porvorim,Milk Products,2.97,2.75,-0.22
2020,June,Porvorim,Ready to eat,1.89,1.95,0.06
2020,June,Porvorim,Spices,5.41,5.81,0.4
2020,June,Porvorim,Vegetables,2.94,2.75,-0.19
2020,July,Panaji,Bakery,1.05,1.09,0.04
2020,July,Panaji,Beverages,1.76,1.75,-0.01
2020,July,Panaji,Fruits,1.96,1.83,-0.13
2020,July,Panaji,Groceries,11.84,10.55,-1.29
2020,July,Panaji,Milk Products,2.7,2.97,0.27
2020,July,Panaji,Ready to eat,1.78,1.96,0.18
2020,July,Panaji,Spices,5.39,5.19,-0.2
2020,July,Panaji,Vegetables,2.96,2.97,0.01
2020,July,Khorlim,Bakery,1.09,1.1,0.01
2020,July,Khorlim,Beverages,1.91,1.94,0.03
2020,July,Khorlim,Fruits,1.84,1.74,-0.1
2020,July,Khorlim,Groceries,10.76,10.85,0.09
2020,July,Khorlim,Milk Products,2.76,2.73,-0.03
2020,July,Khorlim,Ready to eat,1.96,1.91,-0.05
2020,July,Khorlim,Spices,5.99,5.86,-0.13
2020,July,Khorlim,Vegetables,2.71,2.76,0.05
2020,July,KTC,Bakery,1.05,1.05,0
2020,July,KTC,Beverages,1.98,1.76,-0.22
2020,July,KTC,Fruits,1.89,1.8,-0.09
2020,July,KTC,Groceries,10.69,11.16,0.47
2020,July,KTC,Milk Products,2.82,2.8,-0.02
2020,July,KTC,Ready to eat,1.87,1.85,-0.02
2020,July,KTC,Spices,5.28,5.3,0.02
2020,July,KTC,Vegetables,2.71,2.97,0.26
2020,July,Margao,Bakery,1.12,1.08,-0.04
2020,July,Margao,Beverages,1.89,1.76,-0.13
2020,July,Margao,Fruits,1.77,1.76,-0.01
2020,July,Margao,Groceries,11.86,11.92,0.06
2020,July,Margao,Milk Products,2.76,2.62,-0.14
2020,July,Margao,Ready to eat,1.79,1.95,0.16
2020,July,Margao,Spices,5.69,5.32,-0.37
2020,July,Margao,Vegetables,2.65,3,0.35
2020,July,Siolim,Bakery,1.12,1.11,-0.01
2020,July,Siolim,Beverages,1.94,1.84,-0.1
2020,July,Siolim,Fruits,1.89,1.95,0.06
2020,July,Siolim,Groceries,10.67,10.9,0.23
2020,July,Siolim,Milk Products,2.98,2.78,-0.2
2020,July,Siolim,Ready to eat,1.87,2,0.13
2020,July,Siolim,Spices,5.62,5.2,-0.42
2020,July,Siolim,Vegetables,2.74,2.68,-0.06
2020,July,Baga,Bakery,1.14,1.14,0
2020,July,Baga,Beverages,1.98,1.82,-0.16
2020,July,Baga,Fruits,1.88,1.96,0.08
2020,July,Baga,Groceries,10.67,11.15,0.48
2020,July,Baga,Milk Products,2.84,2.92,0.08
2020,July,Baga,Ready to eat,1.86,1.94,0.08
2020,July,Baga,Spices,5.66,5.2,-0.46
2020,July,Baga,Vegetables,2.92,2.71,-0.21
2020,July,Porvorim,Bakery,1.17,1.05,-0.12
2020,July,Porvorim,Beverages,1.78,1.97,0.19
2020,July,Porvorim,Fruits,1.77,1.98,0.21
2020,July,Porvorim,Groceries,10.63,11.48,0.85
2020,July,Porvorim,Milk Products,2.76,2.92,0.16
2020,July,Porvorim,Ready to eat,1.91,1.85,-0.06
2020,July,Porvorim,Spices,5.78,5.76,-0.02
2020,July,Porvorim,Vegetables,2.74,2.82,0.08
2020,August,Panaji,Bakery,1.08,1.1,0.02
2020,August,Panaji,Beverages,1.95,1.77,-0.18
2020,August,Panaji,Fruits,1.8,1.89,0.09
2020,August,Panaji,Groceries,11.63,11.15,-0.48
2020,August,Panaji,Milk Products,2.87,2.81,-0.06
2020,August,Panaji,Ready to eat,1.85,1.89,0.04
2020,August,Panaji,Spices,5.83,5.58,-0.25
2020,August,Panaji,Vegetables,2.85,2.86,0.01
2020,August,Khorlim,Bakery,1.18,1.07,-0.11
2020,August,Khorlim,Beverages,1.8,1.79,-0.01
2020,August,Khorlim,Fruits,1.8,1.82,0.02
2020,August,Khorlim,Groceries,10.64,11.18,0.54
2020,August,Khorlim,Milk Products,2.7,2.77,0.07
2020,August,Khorlim,Ready to eat,1.82,1.9,0.08
2020,August,Khorlim,Spices,5.92,5.27,-0.65
2020,August,Khorlim,Vegetables,2.81,2.76,-0.05
2020,August,KTC,Bakery,1.18,1.06,-0.12
2020,August,KTC,Beverages,2,1.84,-0.16
2020,August,KTC,Fruits,1.77,1.8,0.03
2020,August,KTC,Groceries,11.06,11.56,0.5
2020,August,KTC,Milk Products,2.99,2.93,-0.06
2020,August,KTC,Ready to eat,1.87,1.97,0.1
2020,August,KTC,Spices,5.22,5.88,0.66
2020,August,KTC,Vegetables,2.87,2.68,-0.19
2020,August,Margao,Bakery,1.06,1.17,0.11
2020,August,Margao,Beverages,1.82,1.93,0.11
2020,August,Margao,Fruits,1.86,1.92,0.06
2020,August,Margao,Groceries,10.55,11.97,1.42
2020,August,Margao,Milk Products,2.72,2.67,-0.05
2020,August,Margao,Ready to eat,1.87,1.81,-0.06
2020,August,Margao,Spices,5.79,5.3,-0.49
2020,August,Margao,Vegetables,2.82,2.8,-0.02
2020,August,Siolim,Bakery,1.14,1.17,0.03
2020,August,Siolim,Beverages,1.88,1.73,-0.15
2020,August,Siolim,Fruits,1.8,1.83,0.03
2020,August,Siolim,Groceries,10.81,11.98,1.17
2020,August,Siolim,Milk Products,2.84,2.81,-0.03
2020,August,Siolim,Ready to eat,1.92,1.84,-0.08
2020,August,Siolim,Spices,5.33,5.49,0.16
2020,August,Siolim,Vegetables,2.84,2.68,-0.16
2020,August,Baga,Bakery,1.16,1.04,-0.12
2020,August,Baga,Beverages,1.88,1.81,-0.07
2020,August,Baga,Fruits,1.78,1.98,0.2
2020,August,Baga,Groceries,11.79,11.84,0.05
2020,August,Baga,Milk Products,2.72,2.72,0
2020,August,Baga,Ready to eat,1.88,1.76,-0.12
2020,August,Baga,Spices,5.39,5.67,0.28
2020,August,Baga,Vegetables,2.97,2.73,-0.24
2020,August,Porvorim,Bakery,1.12,1.05,-0.07
2020,August,Porvorim,Beverages,1.82,1.8,-0.02
2020,August,Porvorim,Fruits,1.81,1.98,0.17
2020,August,Porvorim,Groceries,10.83,11.38,0.55
2020,August,Porvorim,Milk Products,2.78,2.84,0.06
2020,August,Porvorim,Ready to eat,1.97,1.76,-0.21
2020,August,Porvorim,Spices,5.62,5.98,0.36
2020,August,Porvorim,Vegetables,2.96,2.95,-0.01
2020,September,Panaji,Bakery,1.11,1.18,0.07
2020,September,Panaji,Beverages,1.91,1.94,0.03
2020,September,Panaji,Fruits,1.85,1.97,0.12
2020,September,Panaji,Groceries,10.7,10.56,-0.14
2020,September,Panaji,Milk Products,2.83,2.88,0.05
2020,September,Panaji,Ready to eat,1.9,1.86,-0.04
2020,September,Panaji,Spices,5.71,5.27,-0.44
2020,September,Panaji,Vegetables,2.82,2.83,0.01
2020,September,Khorlim,Bakery,1.13,1.15,0.02
2020,September,Khorlim,Beverages,1.96,1.87,-0.09
2020,September,Khorlim,Fruits,1.93,1.97,0.04
2020,September,Khorlim,Groceries,10.92,10.47,-0.45
2020,September,Khorlim,Milk Products,2.82,2.82,0
2020,September,Khorlim,Ready to eat,1.96,1.86,-0.1
2020,September,Khorlim,Spices,5.33,5.68,0.35
2020,September,Khorlim,Vegetables,2.79,2.6,-0.19
2020,September,KTC,Bakery,1.05,1.09,0.04
2020,September,KTC,Beverages,1.97,1.9,-0.07
2020,September,KTC,Fruits,1.82,1.74,-0.08
2020,September,KTC,Groceries,11.16,11.79,0.63
2020,September,KTC,Milk Products,2.89,2.86,-0.03
2020,September,KTC,Ready to eat,1.75,1.98,0.23
2020,September,KTC,Spices,5.73,5.47,-0.26
2020,September,KTC,Vegetables,2.73,2.76,0.03
2020,September,Margao,Bakery,1.08,1.09,0.01
2020,September,Margao,Beverages,1.89,1.96,0.07
2020,September,Margao,Fruits,1.74,1.83,0.09
2020,September,Margao,Groceries,10.55,11.71,1.16
2020,September,Margao,Milk Products,2.81,2.97,0.16
2020,September,Margao,Ready to eat,1.92,1.76,-0.16
2020,September,Margao,Spices,5.9,5.54,-0.36
2020,September,Margao,Vegetables,2.76,2.96,0.2
2020,September,Siolim,Bakery,1.13,1.14,0.01
2020,September,Siolim,Beverages,1.94,1.93,-0.01
2020,September,Siolim,Fruits,1.84,1.78,-0.06
2020,September,Siolim,Groceries,11.16,11.16,0
2020,September,Siolim,Milk Products,2.88,2.81,-0.07
2020,September,Siolim,Ready to eat,2,1.83,-0.17
2020,September,Siolim,Spices,5.86,5.81,-0.05
2020,September,Siolim,Vegetables,2.97,2.98,0.01
2020,September,Baga,Bakery,1.2,1.09,-0.11
2020,September,Baga,Beverages,1.86,1.94,0.08
2020,September,Baga,Fruits,1.76,1.94,0.18
2020,September,Baga,Groceries,10.46,11.3,0.84
2020,September,Baga,Milk Products,2.84,2.89,0.05
2020,September,Baga,Ready to eat,1.96,1.82,-0.14
2020,September,Baga,Spices,5.74,5.56,-0.18
2020,September,Baga,Vegetables,2.77,2.91,0.14
2020,September,Porvorim,Bakery,1.18,1.07,-0.11
2020,September,Porvorim,Beverages,1.89,1.94,0.05
2020,September,Porvorim,Fruits,1.92,1.83,-0.09
2020,September,Porvorim,Groceries,11.69,10.41,-1.28
2020,September,Porvorim,Milk Products,2.71,2.61,-0.1
2020,September,Porvorim,Ready to eat,1.93,1.81,-0.12
2020,September,Porvorim,Spices,5.32,5.61,0.29
2020,September,Porvorim,Vegetables,2.63,2.68,0.05
