Outlet,Year,Month,Item Name,Selling Price,Cost Price,Selling Qty
Baga,2022,January,Chapati,75,22.5,469
Baga,2022,January,Phulka,130,39.0,98
Baga,2022,January,Veg Curry,95,29.45,410
Baga,2022,January,Dal Fry,125,41.25,167
Baga,2022,January,Sambar,110,36.3,486
Baga,2022,January,Rasam,55,17.05,464
Baga,2022,January,Curd,100,34.0,68
Baga,2022,January,Buttermilk,60,19.8,392
Baga,2022,January,Lassi,105,32.55,486
Baga,2022,January,Fresh Juice,40,12.4,310
Baga,2022,January,Mango Lassi,140,43.4,270
Baga,2022,January,Sweet Lassi,150,48.0,323
Baga,2022,January,Jeera Rice,120,38.4,274
Baga,2022,January,Boiled Rice,45,14.4,158
Baga,2022,January,Steamed Veg,75,23.25,321
Baga,2022,January,Veg Salad,45,13.95,326
Baga,2022,January,Papad,110,35.2,414
Baga,2022,January,Pickle,40,13.6,215
Baga,2022,January,Chutney,75,23.25,497
Baga,2022,January,Sambar Vada,140,46.2,147
Baga,2022,January,Coconut Chutney,100,33.0,365
Baga,2022,January,Mint Chutney,50,16.0,388
Baga,2022,January,Tomato Chutney,95,30.4,379
Baga,2022,January,Ginger Tea,135,43.2,483
Baga,2022,January,Masala Tea,105,34.65,180
Baga,2022,January,Lemon Tea,75,23.25,360
Baga,2022,January,Soup,100,32.0,83
Baga,2022,January,Tomato Soup,90,30.6,312
Baga,2022,January,Veg Soup,95,31.35,196
Baga,2022,January,Sweet Pongal,70,23.8,311
Baga,2022,January,Dry Fruit Halwa,50,16.5,457
Baga,2022,January,Gulab Jamun,65,19.5,388
Baga,2022,January,Kesari,95,30.4,175
Baga,2022,January,Payasam,40,13.2,320
Baga,2022,February,Idli,80,25.6,251
Baga,2022,February,Vada,145,44.95,390
Baga,2022,February,Dosa,150,48.0,467
Baga,2022,February,Masala Dosa,75,24.75,140
Baga,2022,February,Onion Dosa,70,23.1,443
Baga,2022,February,Set Dosa,60,18.6,319
Baga,2022,February,Rava Dosa,90,27.9,250
Baga,2022,February,Paneer Dosa,65,19.5,169
Baga,2022,February,Ghee Roast,110,33.0,368
Baga,2022,February,Uttapam,125,38.75,224
Baga,2022,February,Onion Uttapam,40,12.4,460
Baga,2022,February,Tomato Uttapam,45,14.85,453
Baga,2022,February,Pongal,55,17.05,338
Baga,2022,February,Upma,80,26.4,405
Baga,2022,February,Poori Bhaji,115,35.65,339
Baga,2022,February,Kesari Bath,120,38.4,327
Baga,2022,February,Mini Tiffin,130,44.2,284
Baga,2022,February,Ghee Idli,65,20.8,452
Baga,2022,February,Ragi Dosa,45,13.95,50
Baga,2022,February,Neer Dosa,135,45.9,155
Baga,2022,February,Appam,140,46.2,328
Baga,2022,February,Idiappam,125,41.25,272
Baga,2022,February,Steamed Rice,85,28.9,307
Baga,2022,February,Lemon Rice,65,21.45,354
Baga,2022,February,Tomato Rice,115,37.95,110
Baga,2022,February,Curd Rice,50,16.0,215
Baga,2022,February,Sambar Rice,140,46.2,54
Baga,2022,February,Bisibele Bath,140,43.4,406
Baga,2022,February,Veg Pulao,115,39.1,499
Baga,2022,February,Veg Kurma,150,45.0,86
Baga,2022,February,Chapati Kurma,75,24.0,273
Baga,2022,February,Parotta,120,37.2,41
Baga,2022,February,Kothu Parotta,95,28.5,402
Baga,2022,February,Chole Batura,55,18.15,186
Baga,2022,February,Bhature,115,35.65,417
Baga,2022,February,Pesarattu,50,15.5,408
Baga,2022,February,Rava Idli,140,43.4,173
Baga,2022,February,Medu Vada,65,20.8,31
Baga,2022,February,Kharabath,110,35.2,123
Baga,2022,February,Kichdi,115,37.95,20
Baga,2022,February,Sagu Dosa,65,20.8,425
Baga,2022,February,Benne Dosa,40,12.8,465
Baga,2022,February,Veg Biryani,45,14.85,45
Baga,2022,February,Tamarind Rice,55,17.6,398
Baga,2022,February,Palak Dosa,50,15.0,212
Baga,2022,February,Coconut Rice,95,29.45,321
Baga,2022,February,Bun Dosa,100,33.0,331
Baga,2022,February,Dahi Vada,145,47.85,246
Baga,2022,February,Veg Sandwich,135,45.9,148
Baga,2022,February,Tea,55,18.15,396
Baga,2022,February,Coffee,95,31.35,470
Baga,2022,February,Filter Coffee,130,40.3,195
Baga,2022,February,Butter Dosa,85,27.2,380
Baga,2022,February,Plain Dosa,80,25.6,387
Baga,2022,February,Cheese Dosa,85,28.9,350
Baga,2022,February,Garlic Dosa,90,27.9,119
Baga,2022,February,Mysore Masala,50,17.0,467
Baga,2022,February,Ghee Mysore Dosa,85,26.35,33
Baga,2022,February,Podi Idli,50,15.5,299
Baga,2022,February,Mini Idli,50,16.0,48
Baga,2022,February,Idli Vada Combo,130,40.3,87
Baga,2022,February,Dosa Vada Combo,50,16.0,274
Baga,2022,February,Upma Pesarattu Combo,140,43.4,274
Baga,2022,February,South Indian Meals,55,17.6,287
Baga,2022,February,Veg Meals,90,29.7,466
Baga,2022,February,Thali,130,40.3,43
Baga,2022,February,Chapati,75,24.0,451
Baga,2022,February,Phulka,130,41.6,188
Baga,2022,February,Veg Curry,95,31.35,57
Baga,2022,February,Dal Fry,125,38.75,117
Baga,2022,February,Sambar,110,35.2,195
Baga,2022,February,Rasam,55,17.05,63
Baga,2022,February,Curd,100,31.0,203
Baga,2022,February,Buttermilk,60,18.6,304
Baga,2022,February,Lassi,105,32.55,131
Baga,2022,February,Fresh Juice,40,12.4,100
Baga,2022,February,Mango Lassi,140,43.4,308
Baga,2022,February,Sweet Lassi,150,46.5,69
Baga,2022,February,Jeera Rice,120,36.0,436
Baga,2022,February,Boiled Rice,45,13.95,303
Baga,2022,February,Steamed Veg,75,23.25,495
Baga,2022,February,Veg Salad,45,15.3,379
Baga,2022,February,Papad,110,36.3,446
Baga,2022,February,Pickle,40,12.0,103
Baga,2022,February,Chutney,75,24.0,86
Baga,2022,February,Sambar Vada,140,46.2,43
Baga,2022,February,Coconut Chutney,100,32.0,154
Baga,2022,February,Mint Chutney,50,16.0,102
Baga,2022,February,Tomato Chutney,95,30.4,25
Baga,2022,February,Ginger Tea,135,41.85,167
Baga,2022,February,Masala Tea,105,32.55,152
Baga,2022,February,Lemon Tea,75,24.75,284
Baga,2022,February,Soup,100,32.0,85
Baga,2022,February,Tomato Soup,90,27.9,167
Baga,2022,February,Veg Soup,95,31.35,33
Baga,2022,February,Sweet Pongal,70,21.0,280
Baga,2022,February,Dry Fruit Halwa,50,16.0,285
Baga,2022,February,Gulab Jamun,65,21.45,198
Baga,2022,February,Kesari,95,30.4,136
Baga,2022,February,Payasam,40,13.2,112
Baga,2022,March,Idli,80,24.0,82
Baga,2022,March,Vada,145,43.5,270
Baga,2022,March,Dosa,150,48.0,65
Baga,2022,March,Masala Dosa,75,24.0,366
Baga,2022,March,Onion Dosa,70,22.4,214
Baga,2022,March,Set Dosa,60,18.6,499
Baga,2022,March,Rava Dosa,90,29.7,216
Baga,2022,March,Paneer Dosa,65,20.15,240
Baga,2022,March,Ghee Roast,110,37.4,310
Baga,2022,March,Uttapam,125,40.0,366
Baga,2022,March,Onion Uttapam,40,12.4,306
Baga,2022,March,Tomato Uttapam,45,15.3,200
Baga,2022,March,Pongal,55,18.7,336
Baga,2022,March,Upma,80,24.8,220
Baga,2022,March,Poori Bhaji,115,35.65,77
Baga,2022,March,Kesari Bath,120,39.6,58
Baga,2022,March,Mini Tiffin,130,42.9,416
Baga,2022,March,Ghee Idli,65,20.8,109
Baga,2022,March,Ragi Dosa,45,15.3,141
Baga,2022,March,Neer Dosa,135,43.2,140
Baga,2022,March,Appam,140,44.8,356
Baga,2022,March,Idiappam,125,37.5,390
Baga,2022,March,Steamed Rice,85,28.05,196
Baga,2022,March,Lemon Rice,65,19.5,28
Baga,2022,March,Tomato Rice,115,35.65,203
Baga,2022,March,Curd Rice,50,16.0,85
Baga,2022,March,Sambar Rice,140,46.2,104
Baga,2022,March,Bisibele Bath,140,44.8,268
Baga,2022,March,Veg Pulao,115,39.1,353
Baga,2022,March,Veg Kurma,150,51.0,56
Baga,2022,March,Chapati Kurma,75,24.75,339
Baga,2022,March,Parotta,120,40.8,366
Baga,2022,March,Kothu Parotta,95,29.45,418
Baga,2022,March,Chole Batura,55,17.6,60
Baga,2022,March,Bhature,115,36.8,153
Baga,2022,March,Pesarattu,50,16.5,47
Baga,2022,March,Rava Idli,140,46.2,270
Baga,2022,March,Medu Vada,65,22.1,83
Baga,2022,March,Kharabath,110,34.1,391
Baga,2022,March,Kichdi,115,37.95,39
Baga,2022,March,Sagu Dosa,65,21.45,100
Baga,2022,March,Benne Dosa,40,13.2,252
Baga,2022,March,Veg Biryani,45,13.5,309
Baga,2022,March,Tamarind Rice,55,16.5,387
Baga,2022,March,Palak Dosa,50,16.0,376
Baga,2022,March,Coconut Rice,95,28.5,439
Baga,2022,March,Bun Dosa,100,33.0,326
Baga,2022,March,Dahi Vada,145,47.85,479
Baga,2022,March,Veg Sandwich,135,41.85,148
Baga,2022,March,Tea,55,17.05,426
Baga,2022,March,Coffee,95,30.4,335
Baga,2022,March,Filter Coffee,130,41.6,243
Baga,2022,March,Butter Dosa,85,25.5,22
Baga,2022,March,Plain Dosa,80,25.6,464
Baga,2022,March,Cheese Dosa,85,27.2,164
Baga,2022,March,Garlic Dosa,90,27.9,43
Baga,2022,March,Mysore Masala,50,15.5,84
Baga,2022,March,Ghee Mysore Dosa,85,28.9,176
Baga,2022,March,Podi Idli,50,16.5,475
Baga,2022,March,Mini Idli,50,15.0,439
Baga,2022,March,Idli Vada Combo,130,41.6,108
Baga,2022,March,Dosa Vada Combo,50,15.5,131
Baga,2022,March,Upma Pesarattu Combo,140,44.8,31
Baga,2022,March,South Indian Meals,55,17.6,234
Baga,2022,March,Veg Meals,90,30.6,327
Baga,2022,March,Thali,130,41.6,219
Baga,2022,March,Chapati,75,25.5,25
Baga,2022,March,Phulka,130,41.6,479
Baga,2022,March,Veg Curry,95,29.45,327
Baga,2022,March,Dal Fry,125,37.5,296
Baga,2022,March,Sambar,110,33.0,473
Baga,2022,March,Rasam,55,18.15,396
Baga,2022,March,Curd,100,30.0,52
Baga,2022,March,Buttermilk,60,18.6,235
Baga,2022,March,Lassi,105,32.55,86
Baga,2022,March,Fresh Juice,40,12.8,208
Baga,2022,March,Mango Lassi,140,44.8,349
Baga,2022,March,Sweet Lassi,150,49.5,241
Baga,2022,March,Jeera Rice,120,39.6,474
Baga,2022,March,Boiled Rice,45,14.4,218
Baga,2022,March,Steamed Veg,75,24.75,427
Baga,2022,March,Veg Salad,45,14.85,187
Baga,2022,March,Papad,110,37.4,308
Baga,2022,March,Pickle,40,13.6,123
Baga,2022,March,Chutney,75,23.25,177
Baga,2022,March,Sambar Vada,140,43.4,36
Baga,2022,March,Coconut Chutney,100,32.0,341
Baga,2022,March,Mint Chutney,50,15.5,80
Baga,2022,March,Tomato Chutney,95,30.4,410
Baga,2022,March,Ginger Tea,135,41.85,207
Baga,2022,March,Masala Tea,105,32.55,328
Baga,2022,March,Lemon Tea,75,24.0,308
Baga,2022,March,Soup,100,32.0,500
Baga,2022,March,Tomato Soup,90,29.7,413
Baga,2022,March,Veg Soup,95,32.3,471
Baga,2022,March,Sweet Pongal,70,21.0,195
Baga,2022,March,Dry Fruit Halwa,50,16.5,359
Baga,2022,March,Gulab Jamun,65,21.45,83
Baga,2022,March,Kesari,95,29.45,437
Baga,2022,March,Payasam,40,12.4,293
Baga,2022,April,Idli,80,26.4,354
Baga,2022,April,Vada,145,44.95,473
Baga,2022,April,Dosa,150,49.5,317
Baga,2022,April,Masala Dosa,75,22.5,122
Baga,2022,April,Onion Dosa,70,22.4,437
Baga,2022,April,Set Dosa,60,20.4,338
Baga,2022,April,Rava Dosa,90,28.8,73
Baga,2022,April,Paneer Dosa,65,20.15,38
Baga,2022,April,Ghee Roast,110,37.4,317
Baga,2022,April,Uttapam,125,37.5,103
Baga,2022,April,Onion Uttapam,40,12.8,74
Baga,2022,April,Tomato Uttapam,45,15.3,413
Baga,2022,April,Pongal,55,17.05,237
Baga,2022,April,Upma,80,26.4,218
Baga,2022,April,Poori Bhaji,115,39.1,23
Baga,2022,April,Kesari Bath,120,39.6,281
Baga,2022,April,Mini Tiffin,130,40.3,343
Baga,2022,April,Ghee Idli,65,20.15,325
Baga,2022,April,Ragi Dosa,45,14.85,361
Baga,2022,April,Neer Dosa,135,43.2,400
Baga,2022,April,Appam,140,42.0,62
Baga,2022,April,Idiappam,125,42.5,448
Baga,2022,April,Steamed Rice,85,28.05,77
Baga,2022,April,Lemon Rice,65,21.45,306
Baga,2022,April,Tomato Rice,115,34.5,343
Baga,2022,April,Curd Rice,50,16.5,348
Baga,2022,April,Sambar Rice,140,46.2,139
Baga,2022,April,Bisibele Bath,140,44.8,281
Baga,2022,April,Veg Pulao,115,36.8,256
Baga,2022,April,Veg Kurma,150,46.5,277
Baga,2022,April,Chapati Kurma,75,24.75,214
Baga,2022,April,Parotta,120,39.6,227
Baga,2022,April,Kothu Parotta,95,28.5,437
Baga,2022,April,Chole Batura,55,17.6,244
Baga,2022,April,Bhature,115,39.1,281
Baga,2022,April,Pesarattu,50,15.5,330
Baga,2022,April,Rava Idli,140,43.4,177
Baga,2022,April,Medu Vada,65,21.45,257
Baga,2022,April,Kharabath,110,34.1,165
Baga,2022,April,Kichdi,115,36.8,364
Baga,2022,April,Sagu Dosa,65,20.8,433
Baga,2022,April,Benne Dosa,40,12.4,159
Baga,2022,April,Veg Biryani,45,14.85,348
Baga,2022,April,Tamarind Rice,55,17.05,381
Baga,2022,April,Palak Dosa,50,15.5,269
Baga,2022,April,Coconut Rice,95,30.4,154
Baga,2022,April,Bun Dosa,100,31.0,25
Baga,2022,April,Dahi Vada,145,46.4,333
Baga,2022,April,Veg Sandwich,135,41.85,421
Baga,2022,April,Tea,55,16.5,353
Baga,2022,April,Coffee,95,29.45,427
Baga,2022,April,Filter Coffee,130,40.3,133
Baga,2022,April,Butter Dosa,85,25.5,98
Baga,2022,April,Plain Dosa,80,24.8,110
Baga,2022,April,Cheese Dosa,85,28.05,492
Baga,2022,April,Garlic Dosa,90,29.7,359
Baga,2022,April,Mysore Masala,50,16.0,466
Baga,2022,April,Ghee Mysore Dosa,85,27.2,220
Baga,2022,April,Podi Idli,50,16.5,107
Baga,2022,April,Mini Idli,50,16.0,77
Baga,2022,April,Idli Vada Combo,130,42.9,265
Baga,2022,April,Dosa Vada Combo,50,16.0,391
Baga,2022,April,Upma Pesarattu Combo,140,42.0,297
Baga,2022,April,South Indian Meals,55,18.15,356
Baga,2022,April,Veg Meals,90,29.7,443
Baga,2022,April,Thali,130,44.2,164
Baga,2022,April,Chapati,75,24.75,237
Baga,2022,April,Phulka,130,40.3,190
Baga,2022,April,Veg Curry,95,31.35,432
Baga,2022,April,Dal Fry,125,40.0,176
Baga,2022,April,Sambar,110,34.1,242
Baga,2022,April,Rasam,55,18.15,290
Baga,2022,April,Curd,100,30.0,321
Baga,2022,April,Buttermilk,60,18.6,343
Baga,2022,April,Lassi,105,33.6,271
Baga,2022,April,Fresh Juice,40,13.2,46
Baga,2022,April,Mango Lassi,140,46.2,133
Baga,2022,April,Sweet Lassi,150,49.5,217
Baga,2022,April,Jeera Rice,120,36.0,200
Baga,2022,April,Boiled Rice,45,14.4,280
Baga,2022,April,Steamed Veg,75,24.75,281
Baga,2022,April,Veg Salad,45,14.85,377
Baga,2022,April,Papad,110,37.4,122
Baga,2022,April,Pickle,40,12.4,127
Baga,2022,April,Chutney,75,24.0,96
Baga,2022,April,Sambar Vada,140,44.8,297
Baga,2022,April,Coconut Chutney,100,31.0,240
Baga,2022,April,Mint Chutney,50,16.5,107
Baga,2022,April,Tomato Chutney,95,30.4,267
Baga,2022,April,Ginger Tea,135,41.85,384
Baga,2022,April,Masala Tea,105,35.7,110
Baga,2022,April,Lemon Tea,75,25.5,31
Baga,2022,April,Soup,100,32.0,380
Baga,2022,April,Tomato Soup,90,29.7,419
Baga,2022,April,Veg Soup,95,31.35,412
Baga,2022,April,Sweet Pongal,70,21.7,116
Baga,2022,April,Dry Fruit Halwa,50,15.5,81
Baga,2022,April,Gulab Jamun,65,19.5,84
Baga,2022,April,Kesari,95,29.45,95
Baga,2022,April,Payasam,40,12.8,367
Baga,2022,May,Idli,80,25.6,35
Baga,2022,May,Vada,145,46.4,143
Baga,2022,May,Dosa,150,48.0,151
Baga,2022,May,Masala Dosa,75,24.0,221
Baga,2022,May,Onion Dosa,70,21.7,324
Baga,2022,May,Set Dosa,60,18.0,441
Baga,2022,May,Rava Dosa,90,27.0,208
Baga,2022,May,Paneer Dosa,65,20.15,103
Baga,2022,May,Ghee Roast,110,37.4,359
Baga,2022,May,Uttapam,125,40.0,317
Baga,2022,May,Onion Uttapam,40,13.2,275
Baga,2022,May,Tomato Uttapam,45,13.95,243
Baga,2022,May,Pongal,55,18.15,379
Baga,2022,May,Upma,80,26.4,329
Baga,2022,May,Poori Bhaji,115,37.95,304
Baga,2022,May,Kesari Bath,120,38.4,363
Baga,2022,May,Mini Tiffin,130,41.6,450
Baga,2022,May,Ghee Idli,65,19.5,231
Baga,2022,May,Ragi Dosa,45,13.95,37
Baga,2022,May,Neer Dosa,135,43.2,379
Baga,2022,May,Appam,140,46.2,431
Baga,2022,May,Idiappam,125,40.0,200
Baga,2022,May,Steamed Rice,85,26.35,124
Baga,2022,May,Lemon Rice,65,22.1,142
Baga,2022,May,Tomato Rice,115,34.5,281
Baga,2022,May,Curd Rice,50,16.0,44
Baga,2022,May,Sambar Rice,140,43.4,230
Baga,2022,May,Bisibele Bath,140,46.2,349
Baga,2022,May,Veg Pulao,115,35.65,192
Baga,2022,May,Veg Kurma,150,51.0,200
Baga,2022,May,Chapati Kurma,75,25.5,204
Baga,2022,May,Parotta,120,38.4,72
Baga,2022,May,Kothu Parotta,95,29.45,25
Baga,2022,May,Chole Batura,55,17.05,350
Baga,2022,May,Bhature,115,39.1,421
Baga,2022,May,Pesarattu,50,15.5,396
Baga,2022,May,Rava Idli,140,46.2,249
Baga,2022,May,Medu Vada,65,20.8,399
Baga,2022,May,Kharabath,110,36.3,167
Baga,2022,May,Kichdi,115,35.65,101
Baga,2022,May,Sagu Dosa,65,22.1,57
Baga,2022,May,Benne Dosa,40,13.6,463
Baga,2022,May,Veg Biryani,45,13.95,26
Baga,2022,May,Tamarind Rice,55,17.6,204
Baga,2022,May,Palak Dosa,50,15.5,482
Baga,2022,May,Coconut Rice,95,31.35,257
Baga,2022,May,Bun Dosa,100,32.0,435
Baga,2022,May,Dahi Vada,145,46.4,334
Baga,2022,May,Veg Sandwich,135,44.55,168
Baga,2022,May,Tea,55,17.6,167
Baga,2022,May,Coffee,95,31.35,359
Baga,2022,May,Filter Coffee,130,40.3,242
Baga,2022,May,Butter Dosa,85,26.35,319
Baga,2022,May,Plain Dosa,80,25.6,130
Baga,2022,May,Cheese Dosa,85,27.2,93
Baga,2022,May,Garlic Dosa,90,27.9,360
Baga,2022,May,Mysore Masala,50,16.5,413
Baga,2022,May,Ghee Mysore Dosa,85,27.2,20
Baga,2022,May,Podi Idli,50,15.5,290
Baga,2022,May,Mini Idli,50,16.0,111
Baga,2022,May,Idli Vada Combo,130,44.2,316
Baga,2022,May,Dosa Vada Combo,50,15.5,238
Baga,2022,May,Upma Pesarattu Combo,140,46.2,488
Baga,2022,May,South Indian Meals,55,18.15,324
Baga,2022,May,Veg Meals,90,29.7,78
Baga,2022,May,Thali,130,40.3,336
Baga,2022,May,Chapati,75,24.0,89
Baga,2022,May,Phulka,130,41.6,227
Baga,2022,May,Veg Curry,95,30.4,483
Baga,2022,May,Dal Fry,125,41.25,128
Baga,2022,May,Sambar,110,34.1,115
Baga,2022,May,Rasam,55,17.05,111
Baga,2022,May,Curd,100,31.0,420
Baga,2022,May,Buttermilk,60,19.8,465
Baga,2022,May,Lassi,105,33.6,419
Baga,2022,May,Fresh Juice,40,13.2,152
Baga,2022,May,Mango Lassi,140,43.4,315
Baga,2022,May,Sweet Lassi,150,48.0,420
Baga,2022,May,Jeera Rice,120,39.6,493
Baga,2022,May,Boiled Rice,45,13.5,142
Baga,2022,May,Steamed Veg,75,25.5,148
Baga,2022,May,Veg Salad,45,13.95,389
Baga,2022,May,Papad,110,33.0,31
Baga,2022,May,Pickle,40,12.4,392
Baga,2022,May,Chutney,75,24.75,368
Baga,2022,May,Sambar Vada,140,42.0,318
Baga,2022,May,Coconut Chutney,100,33.0,105
Baga,2022,May,Mint Chutney,50,15.0,52
Baga,2022,May,Tomato Chutney,95,30.4,280
Baga,2022,May,Ginger Tea,135,43.2,117
Baga,2022,May,Masala Tea,105,34.65,409
Baga,2022,May,Lemon Tea,75,24.0,330
Baga,2022,May,Soup,100,34.0,253
Baga,2022,May,Tomato Soup,90,30.6,421
Baga,2022,May,Veg Soup,95,30.4,306
Baga,2022,May,Sweet Pongal,70,23.1,253
Baga,2022,May,Dry Fruit Halwa,50,15.0,427
Baga,2022,May,Gulab Jamun,65,20.8,146
Baga,2022,May,Kesari,95,28.5,105
Baga,2022,May,Payasam,40,12.4,213
Baga,2022,June,Idli,80,25.6,489
Baga,2022,June,Vada,145,47.85,483
Baga,2022,June,Dosa,150,48.0,36
Baga,2022,June,Masala Dosa,75,22.5,218
Baga,2022,June,Onion Dosa,70,23.8,458
Baga,2022,June,Set Dosa,60,20.4,428
Baga,2022,June,Rava Dosa,90,29.7,461
Baga,2022,June,Paneer Dosa,65,20.8,151
Baga,2022,June,Ghee Roast,110,36.3,201
Baga,2022,June,Uttapam,125,41.25,123
Baga,2022,June,Onion Uttapam,40,12.4,421
Baga,2022,June,Tomato Uttapam,45,14.4,289
Baga,2022,June,Pongal,55,18.15,186
Baga,2022,June,Upma,80,24.8,39
Baga,2022,June,Poori Bhaji,115,37.95,263
Baga,2022,June,Kesari Bath,120,36.0,307
Baga,2022,June,Mini Tiffin,130,42.9,327
Baga,2022,June,Ghee Idli,65,21.45,298
Baga,2022,June,Ragi Dosa,45,13.95,31
Baga,2022,June,Neer Dosa,135,40.5,441
Baga,2022,June,Appam,140,43.4,334
Baga,2022,June,Idiappam,125,40.0,25
Baga,2022,June,Steamed Rice,85,26.35,169
Baga,2022,June,Lemon Rice,65,20.8,206
Baga,2022,June,Tomato Rice,115,37.95,459
Baga,2022,June,Curd Rice,50,16.5,176
Baga,2022,June,Sambar Rice,140,44.8,499
Baga,2022,June,Bisibele Bath,140,43.4,229
Baga,2022,June,Veg Pulao,115,36.8,381
Baga,2022,June,Veg Kurma,150,45.0,188
Baga,2022,June,Chapati Kurma,75,24.75,221
Baga,2022,June,Parotta,120,39.6,447
Baga,2022,June,Kothu Parotta,95,32.3,383
Baga,2022,June,Chole Batura,55,18.15,209
Baga,2022,June,Bhature,115,37.95,72
Baga,2022,June,Pesarattu,50,16.5,432
Baga,2022,June,Rava Idli,140,46.2,167
Baga,2022,June,Medu Vada,65,21.45,362
Baga,2022,June,Kharabath,110,35.2,40
Baga,2022,June,Kichdi,115,37.95,407
Baga,2022,June,Sagu Dosa,65,21.45,251
Baga,2022,June,Benne Dosa,40,13.6,195
Baga,2022,June,Veg Biryani,45,14.85,163
Baga,2022,June,Tamarind Rice,55,17.05,443
Baga,2022,June,Palak Dosa,50,16.0,239
Baga,2022,June,Coconut Rice,95,30.4,418
Baga,2022,June,Bun Dosa,100,30.0,384
Baga,2022,June,Dahi Vada,145,44.95,479
Baga,2022,June,Veg Sandwich,135,41.85,170
Baga,2022,June,Tea,55,17.05,56
Baga,2022,June,Coffee,95,29.45,162
Baga,2022,June,Filter Coffee,130,44.2,21
Baga,2022,June,Butter Dosa,85,28.05,434
Baga,2022,June,Plain Dosa,80,25.6,451
Baga,2022,June,Cheese Dosa,85,27.2,197
Baga,2022,June,Garlic Dosa,90,27.9,420
Baga,2022,June,Mysore Masala,50,16.0,397
Baga,2022,June,Ghee Mysore Dosa,85,28.05,189
Baga,2022,June,Podi Idli,50,16.0,189
Baga,2022,June,Mini Idli,50,16.5,449
Baga,2022,June,Idli Vada Combo,130,39.0,100
Baga,2022,June,Dosa Vada Combo,50,17.0,274
Baga,2022,June,Upma Pesarattu Combo,140,43.4,359
Baga,2022,June,South Indian Meals,55,17.05,459
Baga,2022,June,Veg Meals,90,27.0,146
Baga,2022,June,Thali,130,42.9,48
Baga,2022,June,Chapati,75,24.0,368
Baga,2022,June,Phulka,130,42.9,134
Baga,2022,June,Veg Curry,95,32.3,219
Baga,2022,June,Dal Fry,125,42.5,32
Baga,2022,June,Sambar,110,34.1,286
