Date,Location,Total Sales,Swiggy,Zomato,Card Sales,UPI,Dineout,Zomato Pro,Expenses,Expected Cash Sales,Actual Cash Sales,Year,Month
04-06-2023 00:00,Baga,120251,30349,30094,16776,17837,3613,3270,5978,12334,11723,2023,June
04-06-2023 00:00,KTC,159036,33969,32831,14354,5032,2837,3310,9375,57328,57792,2023,June
04-06-2023 00:00,Khorlim,174831,32999,32106,11434,16057,3149,2833,9144,67109,66452,2023,June
04-06-2023 00:00,Margao,140313,31072,32302,8363,9157,1316,4055,8339,45709,45395,2023,June
04-06-2023 00:00,Panaji,155089,29155,31306,12832,13481,3840,1943,5661,56871,56266,2023,June
04-06-2023 00:00,Porvorim,131452,32105,39292,8723,10328,4684,1194,9219,25907,25833,2023,June
04-06-2023 00:00,Siolim,147393,26257,37372,19184,19922,4638,4804,5344,29872,30787,2023,June
05-06-2023 00:00,Baga,191150,28813,35967,15815,12187,4606,3150,7286,83326,82676,2023,June
05-06-2023 00:00,KTC,197346,26990,39346,14086,16064,2109,1273,9183,88295,88750,2023,June
05-06-2023 00:00,Khorlim,179873,26730,35600,18651,6442,4200,1533,8015,78702,79501,2023,June
05-06-2023 00:00,Margao,107577,25973,33874,19742,12286,3533,2904,6366,2899,3688,2023,June
05-06-2023 00:00,Panaji,125287,32497,31303,19762,11489,3655,3451,8982,14148,13288,2023,June
05-06-2023 00:00,Porvorim,174911,30582,39347,13440,15394,1016,4893,5149,65090,64418,2023,June
05-06-2023 00:00,Siolim,181238,33309,37087,10007,16530,1918,1449,6915,74023,74025,2023,June
06-06-2023 00:00,Baga,176456,26077,32896,5811,12203,4227,2324,9632,83286,82987,2023,June
06-06-2023 00:00,KTC,166310,34289,39299,15100,19121,3859,4650,5237,44755,44912,2023,June
06-06-2023 00:00,Khorlim,155140,33303,34993,14215,11397,1931,1235,5656,52410,52051,2023,June
06-06-2023 00:00,Margao,161379,28050,36823,18602,9907,4219,4777,5320,53681,54454,2023,June
06-06-2023 00:00,Panaji,149304,33470,38038,10720,18944,4855,2377,6917,33983,33980,2023,June
06-06-2023 00:00,Porvorim,157498,33073,30051,15443,11154,1778,4910,6084,55005,55876,2023,June
06-06-2023 00:00,Siolim,159315,29016,35320,10774,6921,1840,2311,6310,66823,66284,2023,June
07-06-2023 00:00,Baga,193817,26583,35767,5813,19749,3761,4173,7715,90256,90056,2023,June
07-06-2023 00:00,KTC,180908,28579,36474,18960,11855,3909,3642,9963,67526,68009,2023,June
07-06-2023 00:00,Khorlim,173505,26009,36855,8990,14518,2865,4129,6527,73612,72940,2023,June
07-06-2023 00:00,Margao,187694,25074,32955,9663,14951,2325,1818,5481,95427,94452,2023,June
07-06-2023 00:00,Panaji,123960,28127,32077,12428,6560,4699,3612,6783,29674,29596,2023,June
07-06-2023 00:00,Porvorim,181885,29449,32445,17338,7673,4669,1523,9137,79651,80418,2023,June
07-06-2023 00:00,Siolim,167888,28957,37310,14911,15805,3784,4294,9715,53112,52921,2023,June
08-06-2023 00:00,Baga,114888,25700,30698,14223,12907,3950,3455,7519,16436,16276,2023,June
08-06-2023 00:00,KTC,174487,34231,31853,15569,10773,3272,1856,5317,71616,72011,2023,June
08-06-2023 00:00,Khorlim,120565,25359,36363,14132,5050,2204,3860,9156,24441,25031,2023,June
08-06-2023 00:00,Margao,120381,33036,33437,13883,19010,1680,3754,8945,6636,6540,2023,June
08-06-2023 00:00,Panaji,167061,27714,36732,16899,6050,2792,1480,5904,69490,68815,2023,June
08-06-2023 00:00,Porvorim,175699,29999,32669,6661,8872,2728,1031,9472,84267,85218,2023,June
08-06-2023 00:00,Siolim,155033,27568,38654,15821,9324,1604,3754,9205,49103,49241,2023,June
09-06-2023 00:00,Baga,122698,26500,38646,15785,7494,4293,3642,8263,18075,17744,2023,June
09-06-2023 00:00,KTC,138155,25310,32735,18798,15986,2057,2618,9840,30811,31358,2023,June
09-06-2023 00:00,Khorlim,179655,27279,34011,6611,14178,3971,1390,6843,85372,86363,2023,June
09-06-2023 00:00,Margao,176233,34184,31856,19887,10634,2605,4725,6707,65635,65726,2023,June
09-06-2023 00:00,Panaji,112677,33800,33989,9063,15539,1594,2991,5243,10458,10915,2023,June
09-06-2023 00:00,Porvorim,133998,30024,38436,17716,8150,1015,2375,7694,28588,28505,2023,June
09-06-2023 00:00,Siolim,196604,28991,33825,14792,6040,4178,4061,6119,98598,99593,2023,June
10-06-2023 00:00,Baga,158128,29081,39714,13113,6184,3480,4588,7325,54643,53961,2023,June
10-06-2023 00:00,KTC,136203,25650,32638,19295,5680,2468,3418,9964,37090,36895,2023,June
10-06-2023 00:00,Khorlim,188105,25648,38233,15302,12980,2118,3107,8815,81902,81560,2023,June
10-06-2023 00:00,Margao,176528,27342,31958,15799,5551,3056,2643,6538,83641,83075,2023,June
10-06-2023 00:00,Panaji,162978,30347,36904,17131,18769,4451,3952,8745,42679,42488,2023,June
10-06-2023 00:00,Porvorim,126390,29897,31550,18396,9788,1913,4115,6675,24056,24109,2023,June
10-06-2023 00:00,Siolim,196908,27001,34999,13281,9336,4541,2157,6492,99101,98980,2023,June
11-06-2023 00:00,Baga,148800,32809,38316,12618,9052,3875,4416,6960,40754,40596,2023,June
11-06-2023 00:00,KTC,145761,34034,37304,19823,8196,4739,4841,5804,31020,30593,2023,June
11-06-2023 00:00,Khorlim,198170,32754,35047,14666,13564,3696,4085,5738,88620,88008,2023,June
11-06-2023 00:00,Margao,157486,34682,39929,19265,17291,1033,1820,7578,35888,35658,2023,June
11-06-2023 00:00,Panaji,115447,30388,32600,13370,7604,2362,4574,8164,16385,15513,2023,June
11-06-2023 00:00,Porvorim,191926,26360,32144,9378,17230,3032,2846,6858,94078,93983,2023,June
11-06-2023 00:00,Siolim,187894,29820,33363,11848,11745,3155,3328,5693,88942,88957,2023,June
12-06-2023 00:00,Baga,115583,30296,31212,8930,10722,2651,2634,8338,20800,21528,2023,June
12-06-2023 00:00,KTC,149808,34723,34001,18897,16236,4042,1080,8263,32566,31959,2023,June
12-06-2023 00:00,Khorlim,181323,30851,31373,9632,12291,3209,3919,9174,80874,80328,2023,June
12-06-2023 00:00,Margao,131871,28425,33691,17974,16363,2661,4807,7321,20629,21485,2023,June
12-06-2023 00:00,Panaji,109240,29528,38690,11352,6277,1123,4491,8673,9106,9721,2023,June
12-06-2023 00:00,Porvorim,174803,32414,37605,13417,16526,4913,2192,6087,61649,60983,2023,June
12-06-2023 00:00,Siolim,121239,33497,32839,18432,11480,3128,4728,5808,11327,11181,2023,June
13-06-2023 00:00,Baga,171045,29473,33010,17596,16093,4764,1078,8020,61011,60939,2023,June
13-06-2023 00:00,KTC,161944,28335,39034,10208,13005,3868,2112,8596,56786,57495,2023,June
13-06-2023 00:00,Khorlim,140703,29056,30737,12872,18870,4426,3395,5991,35356,34577,2023,June
13-06-2023 00:00,Margao,107594,26067,35034,18114,8682,4552,1845,5657,7643,7422,2023,June
13-06-2023 00:00,Panaji,184377,34090,39511,14691,13882,3788,1694,9204,67517,68164,2023,June
13-06-2023 00:00,Porvorim,195861,27498,30517,7839,10489,3601,1916,7981,106020,105317,2023,June
13-06-2023 00:00,Siolim,195445,34554,33462,12687,9419,2699,4003,6232,92389,93087,2023,June
14-06-2023 00:00,Baga,127808,29567,31110,6156,10342,3166,1052,5696,40719,39861,2023,June
14-06-2023 00:00,KTC,133379,25370,39526,13453,17087,3466,4745,8000,21732,21045,2023,June
14-06-2023 00:00,Khorlim,131222,31251,38276,17728,18298,1215,1508,9367,13579,12789,2023,June
14-06-2023 00:00,Margao,186853,34716,38361,8058,10635,1830,4940,6472,81841,81137,2023,June
14-06-2023 00:00,Panaji,128068,34652,36963,15442,18363,2483,3348,5316,11501,10519,2023,June
14-06-2023 00:00,Porvorim,111852,30553,32594,8122,5451,2842,4871,7475,19944,19605,2023,June
14-06-2023 00:00,Siolim,127219,33163,30628,13232,9772,1420,2988,9825,26191,26781,2023,June
15-06-2023 00:00,Baga,174484,29638,31930,12923,10703,2421,2150,8266,76453,76750,2023,June
15-06-2023 00:00,KTC,110082,25155,30878,15760,6766,1449,2288,5467,22319,23184,2023,June
15-06-2023 00:00,Khorlim,157947,25218,30003,5809,8685,1793,2419,5844,78176,77632,2023,June
15-06-2023 00:00,Margao,150896,30699,39659,9473,6356,1849,2675,8054,52131,51819,2023,June
15-06-2023 00:00,Panaji,132098,32506,36340,8134,10196,4470,3132,5769,31551,32424,2023,June
15-06-2023 00:00,Porvorim,128865,29519,39930,14603,8872,1767,2825,8741,22608,22086,2023,June
15-06-2023 00:00,Siolim,197039,30769,38907,9201,19616,1295,3096,6289,87866,88154,2023,June
16-06-2023 00:00,Baga,129350,30806,37444,5786,19794,1613,2756,9836,21315,22290,2023,June
16-06-2023 00:00,KTC,195603,34804,31416,5085,14622,1047,4704,5737,98188,97888,2023,June
16-06-2023 00:00,Khorlim,149945,33680,39425,19509,18213,3446,2532,7362,25778,25731,2023,June
16-06-2023 00:00,Margao,151398,31246,32169,6068,11712,2134,2236,9318,56515,55949,2023,June
16-06-2023 00:00,Panaji,144868,25944,37897,14464,9162,3897,3671,9325,40508,40202,2023,June
16-06-2023 00:00,Porvorim,110323,27181,39643,19333,9389,3065,1889,9467,356,-258,2023,June
16-06-2023 00:00,Siolim,176805,32046,31433,10884,13296,4552,4507,7498,72589,73181,2023,June
17-06-2023 00:00,Baga,182230,30695,38501,19163,18408,4181,4960,6241,60081,59760,2023,June
17-06-2023 00:00,KTC,150366,33375,35645,18222,10213,2771,2857,5425,41858,42368,2023,June
17-06-2023 00:00,Khorlim,153239,30509,37656,17604,11903,2770,3058,7335,42404,41985,2023,June
17-06-2023 00:00,Margao,130191,32082,30435,11076,18102,3933,1985,7305,25273,24459,2023,June
17-06-2023 00:00,Panaji,140535,26607,38838,11721,6296,2614,1204,5335,47920,48113,2023,June
17-06-2023 00:00,Porvorim,160805,31238,34833,16840,10761,4877,4517,7894,49845,48970,2023,June
17-06-2023 00:00,Siolim,169333,34927,34662,9000,15613,4341,2348,6733,61709,61277,2023,June
18-06-2023 00:00,Baga,155779,30830,30580,18766,7261,4448,4757,6772,52365,52619,2023,June
18-06-2023 00:00,KTC,174328,31570,33804,11130,11831,2809,4338,8668,70178,70518,2023,June
18-06-2023 00:00,Khorlim,172553,29283,31838,19031,19179,1929,1689,5005,64599,64729,2023,June
18-06-2023 00:00,Margao,143555,29215,36893,19180,8520,2932,4553,8917,33345,32981,2023,June
18-06-2023 00:00,Panaji,188115,30050,35503,7141,12436,1779,1915,7954,91337,91127,2023,June
18-06-2023 00:00,Porvorim,188743,31951,30025,18016,17533,1341,3128,6349,80400,81324,2023,June
18-06-2023 00:00,Siolim,124891,34512,38051,14552,7204,1528,4771,9380,14893,15773,2023,June
19-06-2023 00:00,Baga,138075,25511,39819,13378,8774,3267,1833,7443,38050,37678,2023,June
19-06-2023 00:00,KTC,166983,32083,39490,5646,8545,4654,1131,7441,67993,67104,2023,June
19-06-2023 00:00,Khorlim,127938,26199,36014,12904,8512,3897,1438,9569,29405,29813,2023,June
19-06-2023 00:00,Margao,117653,32993,36550,5133,16840,1837,1641,5981,16678,17020,2023,June
19-06-2023 00:00,Panaji,178916,25955,36772,17585,11822,1170,1315,5286,79011,78470,2023,June
19-06-2023 00:00,Porvorim,182156,26283,33861,13959,12577,3238,3451,8842,79945,80888,2023,June
19-06-2023 00:00,Siolim,167121,27132,35777,9544,19543,2860,3906,5429,62930,62945,2023,June
20-06-2023 00:00,Baga,181431,32936,33457,10135,18677,3651,1276,5213,76086,76325,2023,June
20-06-2023 00:00,KTC,135639,32807,33553,8777,12093,3193,4491,9172,31553,32547,2023,June
20-06-2023 00:00,Khorlim,189241,34351,34211,10821,6954,2598,1277,6743,92286,91746,2023,June
20-06-2023 00:00,Margao,122414,31462,31842,19977,16589,4126,3506,8811,6101,6893,2023,June
20-06-2023 00:00,Panaji,110708,27466,36814,13023,15653,3763,1613,5796,6580,6614,2023,June
20-06-2023 00:00,Porvorim,134276,29645,37564,12783,14590,2094,4879,9675,23046,22872,2023,June
20-06-2023 00:00,Siolim,153726,30607,38973,12168,6004,3755,3015,5628,53576,52718,2023,June
21-06-2023 00:00,Baga,140993,30327,34800,19392,11109,4932,2945,8152,29336,29584,2023,June
21-06-2023 00:00,KTC,141338,32900,30678,7051,16628,2835,2599,8224,40423,40705,2023,June
21-06-2023 00:00,Khorlim,111621,26898,32955,18578,6916,4356,1962,5653,14303,13721,2023,June
21-06-2023 00:00,Margao,173879,31462,37869,14786,9551,1415,1560,7873,69363,70113,2023,June
21-06-2023 00:00,Panaji,139195,27422,32652,19514,14795,1229,1260,6418,35905,36012,2023,June
21-06-2023 00:00,Porvorim,180975,33340,36083,6623,17438,1824,1881,5642,78144,79073,2023,June
21-06-2023 00:00,Siolim,155950,32397,30899,7441,12001,2420,1237,5252,64303,63503,2023,June
22-06-2023 00:00,Baga,110031,25122,35133,9867,8136,4748,4762,9704,12559,12358,2023,June
22-06-2023 00:00,KTC,106304,27511,35945,16371,12961,3873,2180,6519,944,254,2023,June
22-06-2023 00:00,Khorlim,111144,31426,34803,11125,7157,2047,3091,7949,13546,14312,2023,June
22-06-2023 00:00,Margao,142084,26097,30167,5103,14474,2916,4944,8963,49420,50014,2023,June
22-06-2023 00:00,Panaji,199216,33378,31852,17702,5102,2110,4774,9954,94344,95235,2023,June
22-06-2023 00:00,Porvorim,186227,30007,30168,7965,12788,3598,3055,8619,90027,90235,2023,June
22-06-2023 00:00,Siolim,163225,31060,38268,19834,14142,2836,3020,7174,46891,47836,2023,June
23-06-2023 00:00,Baga,169441,25750,30909,10603,8208,4204,3779,8968,77020,76458,2023,June
23-06-2023 00:00,KTC,164906,26599,30182,10279,10437,3637,2530,7701,73541,74317,2023,June
23-06-2023 00:00,Khorlim,149579,27456,30944,13583,12223,1580,4448,9180,50165,50854,2023,June
23-06-2023 00:00,Margao,131345,31072,39198,11668,8593,4648,2318,5432,28416,29090,2023,June
23-06-2023 00:00,Panaji,196268,32962,33887,14742,15444,3943,3287,7854,84149,84271,2023,June
23-06-2023 00:00,Porvorim,134297,34189,37150,16546,18273,1372,4004,8523,14240,15059,2023,June
23-06-2023 00:00,Siolim,117169,31889,33804,19236,10021,2539,4183,7255,8242,7851,2023,June
24-06-2023 00:00,Baga,125942,27807,36483,12926,16772,1356,1683,7521,21394,20574,2023,June
24-06-2023 00:00,KTC,139067,26125,31938,9086,5304,4855,3187,8165,50407,51060,2023,June
24-06-2023 00:00,Khorlim,185039,29169,38365,5406,7870,2636,2201,6187,93205,93587,2023,June
24-06-2023 00:00,Margao,195393,29896,31548,8967,16753,1607,4652,5761,96209,96539,2023,June
24-06-2023 00:00,Panaji,162779,33264,32769,5289,15728,4473,3122,7044,61090,61056,2023,June
24-06-2023 00:00,Porvorim,142646,26236,34730,15235,7854,1974,3023,9020,44574,43642,2023,June
24-06-2023 00:00,Siolim,149176,26694,32331,6297,8572,1670,3977,7599,62036,62874,2023,June
25-06-2023 00:00,Baga,148220,27558,37730,7099,12706,4386,1574,8952,48215,47235,2023,June
25-06-2023 00:00,KTC,195205,30239,34320,9130,11519,2369,4658,9402,93568,93691,2023,June
25-06-2023 00:00,Khorlim,116406,29495,38983,5664,14589,2937,3632,7759,13347,14278,2023,June
25-06-2023 00:00,Margao,188929,34299,35400,15428,9089,2974,3378,7205,81156,80357,2023,June
25-06-2023 00:00,Panaji,111723,33113,31021,11462,5723,3655,3891,9631,13227,13015,2023,June
25-06-2023 00:00,Porvorim,197384,33985,36353,13519,18425,1765,4646,6900,81791,81580,2023,June
25-06-2023 00:00,Siolim,178238,33731,33021,18197,16399,3624,4252,8461,60553,60586,2023,June
26-06-2023 00:00,Baga,123230,33426,33915,16138,5213,2201,2259,6463,23615,23038,2023,June
26-06-2023 00:00,KTC,174741,25905,34278,19585,18478,2021,4719,9045,60710,60570,2023,June
26-06-2023 00:00,Khorlim,130881,33007,30887,9283,15181,3103,3399,9349,26672,27588,2023,June
26-06-2023 00:00,Margao,110166,26645,36310,13483,18217,2408,4937,6809,1357,1646,2023,June
26-06-2023 00:00,Panaji,122171,30010,32158,11618,12601,3479,1526,9351,21428,21839,2023,June
26-06-2023 00:00,Porvorim,170401,32714,38083,13066,9988,2810,2609,8138,62993,62684,2023,June
26-06-2023 00:00,Siolim,116023,29796,35227,14154,17216,3055,1318,6555,8702,8460,2023,June
27-06-2023 00:00,Baga,172656,26398,34927,10474,13246,4956,3619,8876,70160,69718,2023,June
27-06-2023 00:00,KTC,116090,34834,32186,19473,6373,3835,4611,9163,5615,6485,2023,June
27-06-2023 00:00,Khorlim,177288,28174,36226,5706,16499,2740,1529,9575,76839,76547,2023,June
27-06-2023 00:00,Margao,192731,31068,35607,14471,10159,1911,1159,6299,92057,92728,2023,June
27-06-2023 00:00,Panaji,128799,30983,33352,12059,5920,2486,2555,5656,35788,36125,2023,June
27-06-2023 00:00,Porvorim,125286,25108,33802,5701,14845,3853,1218,7768,32991,32466,2023,June
27-06-2023 00:00,Siolim,121709,25331,38210,13389,8100,3871,4874,5972,21962,21371,2023,June
28-06-2023 00:00,Baga,184682,26314,39467,8457,9091,1786,2673,9687,87207,87814,2023,June
28-06-2023 00:00,KTC,120640,32175,36211,14922,7117,4802,2261,6902,16250,15252,2023,June
28-06-2023 00:00,Khorlim,193295,28519,39114,19128,13955,3364,1321,9388,78506,78876,2023,June
28-06-2023 00:00,Margao,129008,31632,33923,12250,17087,4117,3914,8326,17759,18116,2023,June
28-06-2023 00:00,Panaji,188461,25131,35641,14549,7409,1915,4425,6055,93336,92790,2023,June
28-06-2023 00:00,Porvorim,150995,31732,34842,8944,14553,1040,4684,8231,46969,47678,2023,June
28-06-2023 00:00,Siolim,103065,25446,35724,5827,11888,4506,3940,6880,8854,9317,2023,June
29-06-2023 00:00,Baga,139814,34335,34340,5506,19528,3210,4018,8855,30022,29818,2023,June
29-06-2023 00:00,KTC,134886,28219,37889,15181,13626,3536,3572,6999,25864,26536,2023,June
29-06-2023 00:00,Khorlim,185031,28241,37171,16693,19242,4053,3849,9783,65999,66985,2023,June
29-06-2023 00:00,Margao,120782,32049,38600,9433,16952,4344,3333,8950,7121,7111,2023,June
29-06-2023 00:00,Panaji,166778,33817,37680,6092,10949,4129,1828,6825,65458,65661,2023,June
29-06-2023 00:00,Porvorim,197632,31444,38742,5088,19691,4406,4222,7234,86805,86745,2023,June
29-06-2023 00:00,Siolim,133709,27946,35558,10029,17337,4916,3772,7528,26623,26816,2023,June
30-06-2023 00:00,Baga,163935,26701,30785,18320,14361,4329,3081,9558,56800,57376,2023,June
30-06-2023 00:00,KTC,178010,27888,36527,13478,13538,4978,4688,9646,67267,66639,2023,June
30-06-2023 00:00,Khorlim,171258,30891,36702,10102,11664,1595,1492,5468,73344,73173,2023,June
30-06-2023 00:00,Margao,140614,31445,31036,12801,12241,4297,3608,7191,37995,38079,2023,June
30-06-2023 00:00,Panaji,160397,28280,37415,19974,13636,4171,2634,5765,48522,47931,2023,June
30-06-2023 00:00,Porvorim,179580,34695,30209,6939,5545,1615,2739,7427,90411,90995,2023,June
30-06-2023 00:00,Siolim,146835,32991,31146,8015,16090,2584,1392,5368,49249,48671,2023,June
01-07-2023 00:00,Baga,152766,31114,33726,16289,14621,2073,2329,8811,43803,43300,2023,July
01-07-2023 00:00,KTC,181569,27119,39888,13782,13430,3741,2772,8240,72597,73428,2023,July
01-07-2023 00:00,Khorlim,186337,32245,30724,12453,17436,4878,4933,9839,73829,73883,2023,July
01-07-2023 00:00,Margao,137773,28245,38417,15915,11831,3345,1096,9756,29168,30156,2023,July
01-07-2023 00:00,Panaji,181402,34048,38558,14341,18745,4031,2270,6634,62775,61896,2023,July
01-07-2023 00:00,Porvorim,169148,28112,33684,7505,15021,2542,2400,8439,71445,70889,2023,July
01-07-2023 00:00,Siolim,143247,25860,38120,14763,8464,3619,2620,8945,40856,41337,2023,July
02-07-2023 00:00,Baga,148134,33436,33782,5903,18324,2976,4503,9323,39887,39191,2023,July
02-07-2023 00:00,KTC,198378,29137,35204,6640,12052,2985,4633,5176,102551,102353,2023,July
02-07-2023 00:00,Khorlim,185763,30449,30510,15435,19380,3345,1355,9350,75939,75878,2023,July
02-07-2023 00:00,Margao,193254,26130,37858,6060,11633,4506,1557,9328,96182,96162,2023,July
02-07-2023 00:00,Panaji,159001,28160,38470,19724,14997,1114,1551,8031,46954,46902,2023,July
02-07-2023 00:00,Porvorim,177982,31883,35139,7553,14610,1419,3087,6319,77972,77335,2023,July
02-07-2023 00:00,Siolim,141915,27491,37104,14219,9926,4979,4255,6710,37231,36775,2023,July
03-07-2023 00:00,Baga,120210,25457,35181,18175,5005,1994,2767,8101,23530,23329,2023,July
03-07-2023 00:00,KTC,165779,25215,32483,17710,19604,4833,1915,7203,56816,56364,2023,July
03-07-2023 00:00,Khorlim,199172,31494,37996,6159,10291,2334,1940,6874,102084,101737,2023,July
03-07-2023 00:00,Margao,161616,30019,30383,9322,16296,2766,3371,9683,59776,59780,2023,July
03-07-2023 00:00,Panaji,179683,25255,32423,10422,17336,3084,3463,8985,78715,79690,2023,July
03-07-2023 00:00,Porvorim,162047,34214,32961,10096,17371,3599,4626,6295,52885,52317,2023,July
03-07-2023 00:00,Siolim,116448,27335,38864,14895,6425,4508,4994,8944,10483,11397,2023,July
04-07-2023 00:00,Baga,176847,25597,32538,7328,6423,3266,4814,6257,90624,91094,2023,July
04-07-2023 00:00,KTC,157293,34736,35054,19976,17052,3910,3548,8147,34870,34875,2023,July
04-07-2023 00:00,Khorlim,173351,27178,31155,16287,12610,3005,3727,7716,71673,72603,2023,July
04-07-2023 00:00,Margao,157990,29877,32771,17831,6121,4748,2184,5734,58724,58326,2023,July
04-07-2023 00:00,Panaji,109285,27712,34957,13338,16364,4196,4365,7601,752,474,2023,July
04-07-2023 00:00,Porvorim,166648,29411,30499,14524,15363,4550,1860,6151,64290,64007,2023,July
04-07-2023 00:00,Siolim,135256,33150,37659,18939,11665,3903,3322,6029,20589,20982,2023,July
05-07-2023 00:00,Baga,124086,30704,30490,9754,8375,4131,2055,6656,31921,31903,2023,July
05-07-2023 00:00,KTC,186085,34306,37802,15542,14448,1938,3669,6858,71522,71941,2023,July
05-07-2023 00:00,Khorlim,147458,31120,35099,7536,14282,4322,3468,5984,45647,45869,2023,July
05-07-2023 00:00,Margao,185861,33260,35133,14920,11184,1669,4550,8564,76581,77036,2023,July
05-07-2023 00:00,Panaji,122072,30432,37766,16136,13780,3500,4626,6239,9593,9568,2023,July
05-07-2023 00:00,Porvorim,143634,29446,30825,16688,7671,4754,4802,7249,42199,41580,2023,July
05-07-2023 00:00,Siolim,125433,33813,34733,18350,15188,1791,3203,7453,10902,10793,2023,July
06-07-2023 00:00,Baga,157276,29998,38677,6178,8505,3032,4600,6398,59888,60818,2023,July
06-07-2023 00:00,KTC,159611,31744,34148,15791,7085,4472,1131,8150,57090,56117,2023,July
06-07-2023 00:00,Khorlim,137794,30665,37213,19944,7351,4392,2597,8212,27420,26896,2023,July
06-07-2023 00:00,Margao,144655,30016,31232,14200,14462,1128,3966,8949,40702,41321,2023,July
06-07-2023 00:00,Panaji,168695,27770,39817,17291,16682,2712,1912,8336,54175,53380,2023,July
06-07-2023 00:00,Porvorim,120120,32009,37858,15442,12070,1321,3513,6559,11348,11590,2023,July
06-07-2023 00:00,Siolim,119070,31586,39468,18850,11044,2475,4660,8936,2051,2030,2023,July
07-07-2023 00:00,Baga,189962,25049,37277,19438,15842,3979,1777,7533,79067,78818,2023,July
07-07-2023 00:00,KTC,112364,34757,30425,13590,8379,3436,4888,8722,8167,8782,2023,July
07-07-2023 00:00,Khorlim,150948,33694,36694,11633,8418,3015,4243,8323,44928,45590,2023,July
07-07-2023 00:00,Margao,139993,28070,34049,19166,12315,3932,1763,7654,33044,32143,2023,July
07-07-2023 00:00,Panaji,194751,28353,38667,13450,11235,1821,1354,6851,93020,93901,2023,July
07-07-2023 00:00,Porvorim,162747,28071,30534,16897,5132,3116,4199,7162,67636,68603,2023,July
07-07-2023 00:00,Siolim,173259,33849,35229,18788,6035,1851,3442,7430,66635,66757,2023,July
08-07-2023 00:00,Baga,165744,34550,36283,7123,15656,3691,4486,8968,54987,54280,2023,July
08-07-2023 00:00,KTC,152204,27632,34010,5432,14648,4619,3385,9142,53336,53578,2023,July
08-07-2023 00:00,Khorlim,172901,27476,32066,6912,8676,1574,2668,6355,87174,86753,2023,July
08-07-2023 00:00,Margao,187366,34309,39567,13860,7458,2508,2236,7546,79882,79186,2023,July
08-07-2023 00:00,Panaji,114120,34128,31363,18452,8457,2826,3839,5439,9616,9294,2023,July
08-07-2023 00:00,Porvorim,199687,25123,35488,9384,9931,4718,1789,8358,104896,105119,2023,July
08-07-2023 00:00,Siolim,152712,25947,37558,15405,7199,3533,3825,5135,54110,54747,2023,July
09-07-2023 00:00,Baga,170206,31952,34895,8892,14474,1886,3847,7338,66922,66709,2023,July
09-07-2023 00:00,KTC,192552,25484,35069,5359,19611,3159,4867,5738,93265,93253,2023,July
09-07-2023 00:00,Khorlim,188062,28516,31696,6524,11686,2645,2733,7856,96406,96245,2023,July
09-07-2023 00:00,Margao,126212,34368,38906,18421,12894,4836,2148,5066,9573,10047,2023,July
09-07-2023 00:00,Panaji,147725,33878,34137,19069,13932,1071,4555,9561,31522,31507,2023,July
09-07-2023 00:00,Porvorim,134686,25152,35472,15963,16409,1200,3189,7542,29759,30196,2023,July
