Year,Month,Date,Category,Sub-Category,Super-Sub-Category,Location,Amount
2022,January,01-01-2022,Operating Cost,Salaries,,Porvorim,534875.5
2022,January,01-01-2022,Operating Cost,Rent,,Porvorim,302579.07
2022,January,01-01-2022,Operating Cost,Water,,Porvorim,55425.41
2022,January,01-01-2022,Operating Cost,Electricity,,Porvorim,110850.81
2022,January,01-01-2022,Operating Cost,Staff room rent,,Porvorim,40799.06
2022,January,01-01-2022,Operating Cost,Staff electricity,,Porvorim,17290.48
2022,January,01-01-2022,Operating Cost,Commission,,Porvorim,522467.02
2022,January,01-01-2022,Operating Cost,Admin expenses,,Porvorim,791605.35
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,Porvorim,50562.13
2022,January,01-01-2022,Operating Cost,Advertisement,,Porvorim,55425.41
2022,January,01-01-2022,Revenue,Sales,AC,Siolim,997518.24
2022,January,01-01-2022,Revenue,Sales,Non AC,Siolim,2244416.04
2022,January,01-01-2022,Revenue,Sales,Swiggy,Siolim,748138.68
2022,January,01-01-2022,Revenue,Sales,Zomato,Siolim,748138.68
2022,January,01-01-2022,Revenue,Sales,Takeaway,Siolim,249379.56
2022,January,01-01-2022,Food Cost,Bakery,,Siolim,80028.22
2022,January,01-01-2022,Food Cost,Beverages,,Siolim,110413.82
2022,January,01-01-2022,Food Cost,Fruits,,Siolim,150008.08
2022,January,01-01-2022,Food Cost,Groceries,,Siolim,509521.49
2022,January,01-01-2022,Food Cost,Milk products,,Siolim,201071.21
2022,January,01-01-2022,Food Cost,Spices,,Siolim,181369.29
2022,January,01-01-2022,Food Cost,Vegetables,,Siolim,265058.35
2022,January,01-01-2022,Food Cost,Ready to eat,,Siolim,112434.54
2022,January,01-01-2022,Operating Cost,Salaries,,Siolim,539414.62
2022,January,01-01-2022,Operating Cost,Rent,,Siolim,224371
2022,January,01-01-2022,Operating Cost,Water,,Siolim,49875.91
2022,January,01-01-2022,Operating Cost,Electricity,,Siolim,99751.82
2022,January,01-01-2022,Operating Cost,Staff room rent,,Siolim,30643.71
2022,January,01-01-2022,Operating Cost,Staff electricity,,Siolim,15346.72
2022,January,01-01-2022,Operating Cost,Commission,,Siolim,427910.53
2022,January,01-01-2022,Operating Cost,Admin expenses,,Siolim,622634.12
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,Siolim,49174.63
2022,January,01-01-2022,Operating Cost,Advertisement,,Siolim,49875.91
2022,January,01-01-2022,Revenue,Sales,AC,Margao,1053361.5
2022,January,01-01-2022,Revenue,Sales,Non AC,Margao,2370063.38
2022,January,01-01-2022,Revenue,Sales,Swiggy,Margao,790021.13
2022,January,01-01-2022,Revenue,Sales,Zomato,Margao,790021.13
2022,January,01-01-2022,Revenue,Sales,Takeaway,Margao,263340.38
2022,January,01-01-2022,Food Cost,Bakery,,Margao,88181.74
2022,January,01-01-2022,Food Cost,Beverages,,Margao,126500.08
2022,January,01-01-2022,Food Cost,Fruits,,Margao,160952.11
2022,January,01-01-2022,Food Cost,Groceries,,Margao,620699.48
2022,January,01-01-2022,Food Cost,Milk products,,Margao,239078.42
2022,January,01-01-2022,Food Cost,Spices,,Margao,200530.54
2022,January,01-01-2022,Food Cost,Vegetables,,Margao,310535.78
2022,January,01-01-2022,Food Cost,Ready to eat,,Margao,113710.47
2022,January,01-01-2022,Operating Cost,Salaries,,Margao,485605.12
2022,January,01-01-2022,Operating Cost,Rent,,Margao,234682.11
2022,January,01-01-2022,Operating Cost,Water,,Margao,52668.08
2022,January,01-01-2022,Operating Cost,Electricity,,Margao,105336.15
2022,January,01-01-2022,Operating Cost,Staff room rent,,Margao,49000.55
2022,January,01-01-2022,Operating Cost,Staff electricity,,Margao,15837.04
2022,January,01-01-2022,Operating Cost,Commission,,Margao,475144.76
2022,January,01-01-2022,Operating Cost,Admin expenses,,Margao,697969.6
2022,January,01-01-2022,Operating Cost,Repairs and maintenance,,Margao,44474.06
2022,January,01-01-2022,Operating Cost,Advertisement,,Margao,52668.08
2022,February,01-02-2022,Revenue,Sales,AC,Baga,935046.07
2022,February,01-02-2022,Revenue,Sales,Non AC,Baga,2103853.65
2022,February,01-02-2022,Revenue,Sales,Swiggy,Baga,701284.55
2022,February,01-02-2022,Revenue,Sales,Zomato,Baga,701284.55
2022,February,01-02-2022,Revenue,Sales,Takeaway,Baga,233761.52
2022,February,01-02-2022,Food Cost,Bakery,,Baga,78945.1
2022,February,01-02-2022,Food Cost,Beverages,,Baga,101059.85
2022,February,01-02-2022,Food Cost,Fruits,,Baga,147533.31
2022,February,01-02-2022,Food Cost,Groceries,,Baga,533258.55
2022,February,01-02-2022,Food Cost,Milk products,,Baga,204009.74
2022,February,01-02-2022,Food Cost,Spices,,Baga,185689.96
2022,February,01-02-2022,Food Cost,Vegetables,,Baga,278758.15
2022,February,01-02-2022,Food Cost,Ready to eat,,Baga,99390.31
2022,February,01-02-2022,Operating Cost,Salaries,,Baga,467265.76
2022,February,01-02-2022,Operating Cost,Rent,,Baga,215142.72
2022,February,01-02-2022,Operating Cost,Water,,Baga,46752.3
2022,February,01-02-2022,Operating Cost,Electricity,,Baga,93504.61
2022,February,01-02-2022,Operating Cost,Staff room rent,,Baga,37625.42
2022,February,01-02-2022,Operating Cost,Staff electricity,,Baga,16375.83
2022,February,01-02-2022,Operating Cost,Commission,,Baga,378831.93
2022,February,01-02-2022,Operating Cost,Admin expenses,,Baga,600109.73
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,Baga,45894.55
2022,February,01-02-2022,Operating Cost,Advertisement,,Baga,46752.3
2022,February,01-02-2022,Revenue,Sales,AC,KTC,857957.95
2022,February,01-02-2022,Revenue,Sales,Non AC,KTC,1930405.38
2022,February,01-02-2022,Revenue,Sales,Swiggy,KTC,643468.46
2022,February,01-02-2022,Revenue,Sales,Zomato,KTC,643468.46
2022,February,01-02-2022,Revenue,Sales,Takeaway,KTC,214489.49
2022,February,01-02-2022,Food Cost,Bakery,,KTC,68546.15
2022,February,01-02-2022,Food Cost,Beverages,,KTC,106936.96
2022,February,01-02-2022,Food Cost,Fruits,,KTC,131808.79
2022,February,01-02-2022,Food Cost,Groceries,,KTC,486645.38
2022,February,01-02-2022,Food Cost,Milk products,,KTC,204263.47
2022,February,01-02-2022,Food Cost,Spices,,KTC,138887.84
2022,February,01-02-2022,Food Cost,Vegetables,,KTC,245728.44
2022,February,01-02-2022,Food Cost,Ready to eat,,KTC,93684.36
2022,February,01-02-2022,Operating Cost,Salaries,,KTC,440330.26
2022,February,01-02-2022,Operating Cost,Rent,,KTC,225945.77
2022,February,01-02-2022,Operating Cost,Water,,KTC,42897.9
2022,February,01-02-2022,Operating Cost,Electricity,,KTC,85795.79
2022,February,01-02-2022,Operating Cost,Staff room rent,,KTC,39365.31
2022,February,01-02-2022,Operating Cost,Staff electricity,,KTC,14245.45
2022,February,01-02-2022,Operating Cost,Commission,,KTC,359185.68
2022,February,01-02-2022,Operating Cost,Admin expenses,,KTC,520022.27
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,KTC,39387.93
2022,February,01-02-2022,Operating Cost,Advertisement,,KTC,42897.9
2022,February,01-02-2022,Revenue,Sales,AC,Khorlim,806635.13
2022,February,01-02-2022,Revenue,Sales,Non AC,Khorlim,1814929.05
2022,February,01-02-2022,Revenue,Sales,Swiggy,Khorlim,604976.35
2022,February,01-02-2022,Revenue,Sales,Zomato,Khorlim,604976.35
2022,February,01-02-2022,Revenue,Sales,Takeaway,Khorlim,201658.78
2022,February,01-02-2022,Food Cost,Bakery,,Khorlim,64628.36
2022,February,01-02-2022,Food Cost,Beverages,,Khorlim,85231
2022,February,01-02-2022,Food Cost,Fruits,,Khorlim,128801.56
2022,February,01-02-2022,Food Cost,Groceries,,Khorlim,417382.57
2022,February,01-02-2022,Food Cost,Milk products,,Khorlim,189193.76
2022,February,01-02-2022,Food Cost,Spices,,Khorlim,136592.99
2022,February,01-02-2022,Food Cost,Vegetables,,Khorlim,239438.75
2022,February,01-02-2022,Food Cost,Ready to eat,,Khorlim,83436.74
2022,February,01-02-2022,Operating Cost,Salaries,,Khorlim,390497.42
2022,February,01-02-2022,Operating Cost,Rent,,Khorlim,170480.2
2022,February,01-02-2022,Operating Cost,Water,,Khorlim,40331.76
2022,February,01-02-2022,Operating Cost,Electricity,,Khorlim,80663.51
2022,February,01-02-2022,Operating Cost,Staff room rent,,Khorlim,25367.5
2022,February,01-02-2022,Operating Cost,Staff electricity,,Khorlim,14761.36
2022,February,01-02-2022,Operating Cost,Commission,,Khorlim,388574.07
2022,February,01-02-2022,Operating Cost,Admin expenses,,Khorlim,551157.75
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,Khorlim,36537.75
2022,February,01-02-2022,Operating Cost,Advertisement,,Khorlim,40331.76
2022,February,01-02-2022,Revenue,Sales,AC,Panaji,837241.11
2022,February,01-02-2022,Revenue,Sales,Non AC,Panaji,1883792.49
2022,February,01-02-2022,Revenue,Sales,Swiggy,Panaji,627930.83
2022,February,01-02-2022,Revenue,Sales,Zomato,Panaji,627930.83
2022,February,01-02-2022,Revenue,Sales,Takeaway,Panaji,209310.28
2022,February,01-02-2022,Food Cost,Bakery,,Panaji,70304.94
2022,February,01-02-2022,Food Cost,Beverages,,Panaji,102570.79
2022,February,01-02-2022,Food Cost,Fruits,,Panaji,133537.04
2022,February,01-02-2022,Food Cost,Groceries,,Panaji,447005.52
2022,February,01-02-2022,Food Cost,Milk products,,Panaji,182066.85
2022,February,01-02-2022,Food Cost,Spices,,Panaji,155976.16
2022,February,01-02-2022,Food Cost,Vegetables,,Panaji,246865.16
2022,February,01-02-2022,Food Cost,Ready to eat,,Panaji,102291.74
2022,February,01-02-2022,Operating Cost,Salaries,,Panaji,442052.88
2022,February,01-02-2022,Operating Cost,Rent,,Panaji,221201.75
2022,February,01-02-2022,Operating Cost,Water,,Panaji,41862.06
2022,February,01-02-2022,Operating Cost,Electricity,,Panaji,83724.11
2022,February,01-02-2022,Operating Cost,Staff room rent,,Panaji,39738.69
2022,February,01-02-2022,Operating Cost,Staff electricity,,Panaji,15097.25
2022,February,01-02-2022,Operating Cost,Commission,,Panaji,335666.46
2022,February,01-02-2022,Operating Cost,Admin expenses,,Panaji,515088.09
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,Panaji,39044.75
2022,February,01-02-2022,Operating Cost,Advertisement,,Panaji,41862.06
2022,February,01-02-2022,Revenue,Sales,AC,Porvorim,864323.22
2022,February,01-02-2022,Revenue,Sales,Non AC,Porvorim,1944727.25
2022,February,01-02-2022,Revenue,Sales,Swiggy,Porvorim,648242.42
2022,February,01-02-2022,Revenue,Sales,Zomato,Porvorim,648242.42
2022,February,01-02-2022,Revenue,Sales,Takeaway,Porvorim,216080.81
2022,February,01-02-2022,Food Cost,Bakery,,Porvorim,69567.08
2022,February,01-02-2022,Food Cost,Beverages,,Porvorim,101382.85
2022,February,01-02-2022,Food Cost,Fruits,,Porvorim,138101.06
2022,February,01-02-2022,Food Cost,Groceries,,Porvorim,451545.73
2022,February,01-02-2022,Food Cost,Milk products,,Porvorim,203642.3
2022,February,01-02-2022,Food Cost,Spices,,Porvorim,139901.48
2022,February,01-02-2022,Food Cost,Vegetables,,Porvorim,230143.33
2022,February,01-02-2022,Food Cost,Ready to eat,,Porvorim,102562.57
2022,February,01-02-2022,Operating Cost,Salaries,,Porvorim,445094.73
2022,February,01-02-2022,Operating Cost,Rent,,Porvorim,246265
2022,February,01-02-2022,Operating Cost,Water,,Porvorim,43216.16
2022,February,01-02-2022,Operating Cost,Electricity,,Porvorim,86432.32
2022,February,01-02-2022,Operating Cost,Staff room rent,,Porvorim,23632.21
2022,February,01-02-2022,Operating Cost,Staff electricity,,Porvorim,14553.97
2022,February,01-02-2022,Operating Cost,Commission,,Porvorim,368651.34
2022,February,01-02-2022,Operating Cost,Admin expenses,,Porvorim,550226.82
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,Porvorim,42982.88
2022,February,01-02-2022,Operating Cost,Advertisement,,Porvorim,43216.16
2022,February,01-02-2022,Revenue,Sales,AC,Siolim,1156818.62
2022,February,01-02-2022,Revenue,Sales,Non AC,Siolim,2602841.9
2022,February,01-02-2022,Revenue,Sales,Swiggy,Siolim,867613.97
2022,February,01-02-2022,Revenue,Sales,Zomato,Siolim,867613.97
2022,February,01-02-2022,Revenue,Sales,Takeaway,Siolim,289204.66
2022,February,01-02-2022,Food Cost,Bakery,,Siolim,94062.53
2022,February,01-02-2022,Food Cost,Beverages,,Siolim,138668.18
2022,February,01-02-2022,Food Cost,Fruits,,Siolim,182244.69
2022,February,01-02-2022,Food Cost,Groceries,,Siolim,645146.63
2022,February,01-02-2022,Food Cost,Milk products,,Siolim,259851.41
2022,February,01-02-2022,Food Cost,Spices,,Siolim,184815.83
2022,February,01-02-2022,Food Cost,Vegetables,,Siolim,330991.96
2022,February,01-02-2022,Food Cost,Ready to eat,,Siolim,123801.93
2022,February,01-02-2022,Operating Cost,Salaries,,Siolim,523381.3
2022,February,01-02-2022,Operating Cost,Rent,,Siolim,306033.16
2022,February,01-02-2022,Operating Cost,Water,,Siolim,57840.93
2022,February,01-02-2022,Operating Cost,Electricity,,Siolim,115681.86
2022,February,01-02-2022,Operating Cost,Staff room rent,,Siolim,56508.52
2022,February,01-02-2022,Operating Cost,Staff electricity,,Siolim,22643.94
2022,February,01-02-2022,Operating Cost,Commission,,Siolim,505548.1
2022,February,01-02-2022,Operating Cost,Admin expenses,,Siolim,696773.25
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,Siolim,57011.71
2022,February,01-02-2022,Operating Cost,Advertisement,,Siolim,57840.93
2022,February,01-02-2022,Revenue,Sales,AC,Margao,1186661.93
2022,February,01-02-2022,Revenue,Sales,Non AC,Margao,2669989.34
2022,February,01-02-2022,Revenue,Sales,Swiggy,Margao,889996.45
2022,February,01-02-2022,Revenue,Sales,Zomato,Margao,889996.45
2022,February,01-02-2022,Revenue,Sales,Takeaway,Margao,296665.48
2022,February,01-02-2022,Food Cost,Bakery,,Margao,100434.56
2022,February,01-02-2022,Food Cost,Beverages,,Margao,143972.04
2022,February,01-02-2022,Food Cost,Fruits,,Margao,183240.46
2022,February,01-02-2022,Food Cost,Groceries,,Margao,639029.05
2022,February,01-02-2022,Food Cost,Milk products,,Margao,287832.96
2022,February,01-02-2022,Food Cost,Spices,,Margao,196803.25
2022,February,01-02-2022,Food Cost,Vegetables,,Margao,306722.01
2022,February,01-02-2022,Food Cost,Ready to eat,,Margao,135184.56
2022,February,01-02-2022,Operating Cost,Salaries,,Margao,645087.79
2022,February,01-02-2022,Operating Cost,Rent,,Margao,319927.59
2022,February,01-02-2022,Operating Cost,Water,,Margao,59333.1
2022,February,01-02-2022,Operating Cost,Electricity,,Margao,118666.19
2022,February,01-02-2022,Operating Cost,Staff room rent,,Margao,47911.69
2022,February,01-02-2022,Operating Cost,Staff electricity,,Margao,23674.22
2022,February,01-02-2022,Operating Cost,Commission,,Margao,491288.01
2022,February,01-02-2022,Operating Cost,Admin expenses,,Margao,804259.47
2022,February,01-02-2022,Operating Cost,Repairs and maintenance,,Margao,57877.93
2022,February,01-02-2022,Operating Cost,Advertisement,,Margao,59333.1
2022,March,01-03-2022,Revenue,Sales,AC,Baga,1078806.3
2022,March,01-03-2022,Revenue,Sales,Non AC,Baga,2427314.17
2022,March,01-03-2022,Revenue,Sales,Swiggy,Baga,809104.72
2022,March,01-03-2022,Revenue,Sales,Zomato,Baga,809104.72
2022,March,01-03-2022,Revenue,Sales,Takeaway,Baga,269701.57
2022,March,01-03-2022,Food Cost,Bakery,,Baga,88488.91
2022,March,01-03-2022,Food Cost,Beverages,,Baga,117576.16
2022,March,01-03-2022,Food Cost,Fruits,,Baga,166571.88
2022,March,01-03-2022,Food Cost,Groceries,,Baga,626717.54
2022,March,01-03-2022,Food Cost,Milk products,,Baga,259459.03
2022,March,01-03-2022,Food Cost,Spices,,Baga,208591.1
2022,March,01-03-2022,Food Cost,Vegetables,,Baga,318962.06
2022,March,01-03-2022,Food Cost,Ready to eat,,Baga,121671.61
2022,March,01-03-2022,Operating Cost,Salaries,,Baga,539566.73
2022,March,01-03-2022,Operating Cost,Rent,,Baga,301881.85
2022,March,01-03-2022,Operating Cost,Water,,Baga,53940.31
2022,March,01-03-2022,Operating Cost,Electricity,,Baga,107880.63
2022,March,01-03-2022,Operating Cost,Staff room rent,,Baga,48432.81
2022,March,01-03-2022,Operating Cost,Staff electricity,,Baga,20982.81
2022,March,01-03-2022,Operating Cost,Commission,,Baga,467985.65
2022,March,01-03-2022,Operating Cost,Admin expenses,,Baga,708060.97
2022,March,01-03-2022,Operating Cost,Repairs and maintenance,,Baga,44166.13
2022,March,01-03-2022,Operating Cost,Advertisement,,Baga,53940.31
2022,March,01-03-2022,Revenue,Sales,AC,KTC,814376.91
2022,March,01-03-2022,Revenue,Sales,Non AC,KTC,1832348.05
2022,March,01-03-2022,Revenue,Sales,Swiggy,KTC,610782.68
2022,March,01-03-2022,Revenue,Sales,Zomato,KTC,610782.68
2022,March,01-03-2022,Revenue,Sales,Takeaway,KTC,203594.23
2022,March,01-03-2022,Food Cost,Bakery,,KTC,64869.99
2022,March,01-03-2022,Food Cost,Beverages,,KTC,92485.62
2022,March,01-03-2022,Food Cost,Fruits,,KTC,125656.83
2022,March,01-03-2022,Food Cost,Groceries,,KTC,455304.55
2022,March,01-03-2022,Food Cost,Milk products,,KTC,164117.32
2022,March,01-03-2022,Food Cost,Spices,,KTC,123677.31
2022,March,01-03-2022,Food Cost,Vegetables,,KTC,237089.57
2022,March,01-03-2022,Food Cost,Ready to eat,,KTC,88770.96
2022,March,01-03-2022,Operating Cost,Salaries,,KTC,376817.12
2022,March,01-03-2022,Operating Cost,Rent,,KTC,205405.67
2022,March,01-03-2022,Operating Cost,Water,,KTC,40718.85
2022,March,01-03-2022,Operating Cost,Electricity,,KTC,81437.69
2022,March,01-03-2022,Operating Cost,Staff room rent,,KTC,33041.11
2022,March,01-03-2022,Operating Cost,Staff electricity,,KTC,12563.18
2022,March,01-03-2022,Operating Cost,Commission,,KTC,329959.6
2022,March,01-03-2022,Operating Cost,Admin expenses,,KTC,553534.59
2022,March,01-03-2022,Operating Cost,Repairs and maintenance,,KTC,36977.88
2022,March,01-03-2022,Operating Cost,Advertisement,,KTC,40718.85
2022,March,01-03-2022,Revenue,Sales,AC,Khorlim,1090436.53
2022,March,01-03-2022,Revenue,Sales,Non AC,Khorlim,2453482.2
2022,March,01-03-2022,Revenue,Sales,Swiggy,Khorlim,817827.4
2022,March,01-03-2022,Revenue,Sales,Zomato,Khorlim,817827.4
2022,March,01-03-2022,Revenue,Sales,Takeaway,Khorlim,272609.13
2022,March,01-03-2022,Food Cost,Bakery,,Khorlim,92423.79
2022,March,01-03-2022,Food Cost,Beverages,,Khorlim,123118.47
2022,March,01-03-2022,Food Cost,Fruits,,Khorlim,168847.93
2022,March,01-03-2022,Food Cost,Groceries,,Khorlim,631928.27
2022,March,01-03-2022,Food Cost,Milk products,,Khorlim,232853.58
2022,March,01-03-2022,Food Cost,Spices,,Khorlim,187499
2022,March,01-03-2022,Food Cost,Vegetables,,Khorlim,276886.72
2022,March,01-03-2022,Food Cost,Ready to eat,,Khorlim,109734.74
2022,March,01-03-2022,Operating Cost,Salaries,,Khorlim,595667.14
2022,March,01-03-2022,Operating Cost,Rent,,Khorlim,309245.63
2022,March,01-03-2022,Operating Cost,Water,,Khorlim,54521.83
2022,March,01-03-2022,Operating Cost,Electricity,,Khorlim,109043.65
2022,March,01-03-2022,Operating Cost,Staff room rent,,Khorlim,31985.07
2022,March,01-03-2022,Operating Cost,Staff electricity,,Khorlim,17209.47
2022,March,01-03-2022,Operating Cost,Commission,,Khorlim,463462.01
2022,March,01-03-2022,Operating Cost,Admin expenses,,Khorlim,744096.44
2022,March,01-03-2022,Operating Cost,Repairs and maintenance,,Khorlim,51409.68
2022,March,01-03-2022,Operating Cost,Advertisement,,Khorlim,54521.83
2022,March,01-03-2022,Revenue,Sales,AC,Panaji,911973.56
2022,March,01-03-2022,Revenue,Sales,Non AC,Panaji,2051940.51
2022,March,01-03-2022,Revenue,Sales,Swiggy,Panaji,683980.17
2022,March,01-03-2022,Revenue,Sales,Zomato,Panaji,683980.17
