Year,Month,Location,Item,Category,UOM,Price,Opening Stock (Qty),Purchases (Qty),Consumption (Qty),Ideal Closing Stock,Actual Closing Stock,Ideal Closing stock Value,Actual Closing stock Value,Variance
2023,August,Panaji,Oil,Groceries,Packets,478.02,61,41,86,16,14,7648.32,6692.28,-956.04
2023,September,Panaji,Oil,Groceries,Packets,497.8,14,72,63,23,23,11449.4,11449.4,0
2023,October,Panaji,Oil,Groceries,Packets,455.36,23,75,21,77,77,35062.72,35062.72,0
2023,November,Panaji,Oil,Groceries,Packets,456.55,77,64,106,35,33,15979.25,15066.15,-913.1
2023,December,Panaji,Oil,Groceries,Packets,483.26,33,55,53,35,35,16914.1,16914.1,0
2024,January,Panaji,Oil,Groceries,Packets,465.47,35,97,77,55,55,25600.85,25600.85,0
2024,February,Panaji,Oil,Groceries,Packets,468.63,55,58,55,58,56,27180.54,26243.28,-937.26
2024,March,Panaji,Oil,Groceries,Packets,490.29,56,65,29,92,92,45106.68,45106.68,0
2024,April,Panaji,Oil,Groceries,Packets,487.78,92,93,118,67,67,32681.26,32681.26,0
2024,May,Panaji,Oil,Groceries,Packets,469.76,67,53,42,78,79,36641.28,37111.04,469.76
2024,June,Panaji,Oil,Groceries,Packets,478.79,79,41,74,46,46,22024.34,22024.34,0
2024,July,Panaji,Oil,Groceries,Packets,487.27,46,59,36,69,67,33621.63,32647.09,-974.54
2024,August,Panaji,Oil,Groceries,Packets,476.1,67,42,78,31,31,14759.1,14759.1,0
2024,September,Panaji,Oil,Groceries,Packets,470.58,31,41,60,12,12,5646.96,5646.96,0
2024,October,Panaji,Oil,Groceries,Packets,456.4,12,57,33,36,38,16430.4,17343.2,912.8
2024,November,Panaji,Oil,Groceries,Packets,497.29,38,45,72,11,11,5470.19,5470.19,0
2024,December,Panaji,Oil,Groceries,Packets,466.01,11,54,40,25,25,11650.25,11650.25,0
2022,January,Khorlim,Oil,Groceries,Packets,489.72,102,86,58,130,130,63663.6,63663.6,0
2022,February,Khorlim,Oil,Groceries,Packets,496.36,130,87,186,31,32,15387.16,15883.52,496.36
2022,March,Khorlim,Oil,Groceries,Packets,478.21,32,34,54,12,14,5738.52,6694.94,956.42
2022,April,Khorlim,Oil,Groceries,Packets,478.03,14,47,31,30,28,14340.9,13384.84,-956.06
2022,May,Khorlim,Oil,Groceries,Packets,488.29,28,46,57,17,19,8300.93,9277.51,976.58
2022,June,Khorlim,Oil,Groceries,Packets,472.33,19,69,61,27,25,12752.91,11808.25,-944.66
2022,July,Khorlim,Oil,Groceries,Packets,491.17,25,95,24,96,96,47152.32,47152.32,0
2022,August,Khorlim,Oil,Groceries,Packets,456.09,96,37,131,2,2,912.18,912.18,0
2022,September,Khorlim,Oil,Groceries,Packets,469.69,2,46,26,22,20,10333.18,9393.8,-939.38
2022,October,Khorlim,Oil,Groceries,Packets,480.22,20,65,50,35,35,16807.7,16807.7,0
2022,November,Khorlim,Oil,Groceries,Packets,489.04,35,83,58,60,60,29342.4,29342.4,0
2022,December,Khorlim,Oil,Groceries,Packets,463.89,60,48,58,50,51,23194.5,23658.39,463.89
2023,January,Khorlim,Oil,Groceries,Packets,475.5,51,42,77,16,16,7608,7608,0
2023,February,Khorlim,Oil,Groceries,Packets,457.71,16,90,58,48,46,21970.08,21054.66,-915.42
2023,March,Khorlim,Oil,Groceries,Packets,484.46,46,91,82,55,55,26645.3,26645.3,0
2023,April,Khorlim,Oil,Groceries,Packets,465.65,55,85,52,88,89,40977.2,41442.85,465.65
2023,May,Khorlim,Oil,Groceries,Packets,472.82,89,87,63,113,113,53428.66,53428.66,0
2023,June,Khorlim,Oil,Groceries,Packets,498.21,113,90,66,137,137,68254.77,68254.77,0
2023,July,Khorlim,Oil,Groceries,Packets,454.12,137,65,166,36,36,16348.32,16348.32,0
2023,August,Khorlim,Oil,Groceries,Packets,455.65,36,76,68,44,45,20048.6,20504.25,455.65
2023,September,Khorlim,Oil,Groceries,Packets,466.07,45,30,72,3,4,1398.21,1864.28,466.07
2023,October,Khorlim,Oil,Groceries,Packets,479.86,4,45,42,7,5,3359.02,2399.3,-959.72
2023,November,Khorlim,Oil,Groceries,Packets,495.61,5,45,27,23,24,11399.03,11894.64,495.61
2023,December,Khorlim,Oil,Groceries,Packets,473.74,24,57,72,9,8,4263.66,3789.92,-473.74
2024,January,Khorlim,Oil,Groceries,Packets,461.01,8,37,37,8,8,3688.08,3688.08,0
2024,February,Khorlim,Oil,Groceries,Packets,455.76,8,70,55,23,23,10482.48,10482.48,0
2024,March,Khorlim,Oil,Groceries,Packets,485.28,23,46,28,41,39,19896.48,18925.92,-970.56
2024,April,Khorlim,Oil,Groceries,Packets,471.62,39,58,32,65,66,30655.3,31126.92,471.62
2024,May,Khorlim,Oil,Groceries,Packets,455.68,66,35,88,13,15,5923.84,6835.2,911.36
2024,June,Khorlim,Oil,Groceries,Packets,495.8,15,39,49,5,4,2479,1983.2,-495.8
2024,July,Khorlim,Oil,Groceries,Packets,478.3,4,34,20,18,19,8609.4,9087.7,478.3
2024,August,Khorlim,Oil,Groceries,Packets,490.63,19,78,30,67,67,32872.21,32872.21,0
2024,September,Khorlim,Oil,Groceries,Packets,487.73,67,88,46,109,107,53162.57,52187.11,-975.46
2024,October,Khorlim,Oil,Groceries,Packets,491.95,107,30,40,97,99,47719.15,48703.05,983.9
2024,November,Khorlim,Oil,Groceries,Packets,493.21,99,98,114,83,83,40936.43,40936.43,0
2024,December,Khorlim,Oil,Groceries,Packets,499.48,83,82,42,123,123,61436.04,61436.04,0
2022,January,KTC,Oil,Groceries,Packets,497.01,102,46,104,44,45,21868.44,22365.45,497.01
2022,February,KTC,Oil,Groceries,Packets,461.81,45,30,70,5,5,2309.05,2309.05,0
2022,March,KTC,Oil,Groceries,Packets,480.9,5,91,84,12,10,5770.8,4809,-961.8
2022,April,KTC,Oil,Groceries,Packets,488.08,10,63,47,26,28,12690.08,13666.24,976.16
2022,May,KTC,Oil,Groceries,Packets,457.46,28,55,77,6,5,2744.76,2287.3,-457.46
2022,June,KTC,Oil,Groceries,Packets,474.72,5,32,31,6,4,2848.32,1898.88,-949.44
2022,July,KTC,Oil,Groceries,Packets,478.32,4,34,36,2,4,956.64,1913.28,956.64
2022,August,KTC,Oil,Groceries,Packets,453.43,4,43,21,26,26,11789.18,11789.18,0
2022,September,KTC,Oil,Groceries,Packets,462.19,26,67,83,10,10,4621.9,4621.9,0
2022,October,KTC,Oil,Groceries,Packets,498.71,10,79,49,40,42,19948.4,20945.82,997.42
2022,November,KTC,Oil,Groceries,Packets,472.87,42,92,117,17,17,8038.79,8038.79,0
2022,December,KTC,Oil,Groceries,Packets,478.11,17,59,74,2,1,956.22,478.11,-478.11
2023,January,KTC,Oil,Groceries,Packets,493.09,1,34,32,3,3,1479.27,1479.27,0
2023,February,KTC,Oil,Groceries,Packets,473.92,3,46,29,20,18,9478.4,8530.56,-947.84
2023,March,KTC,Oil,Groceries,Packets,464.35,18,98,53,63,64,29254.05,29718.4,464.35
2023,April,KTC,Oil,Groceries,Packets,475.5,64,72,131,5,5,2377.5,2377.5,0
2023,May,KTC,Oil,Groceries,Packets,455.67,5,52,35,22,24,10024.74,10936.08,911.34
2023,June,KTC,Oil,Groceries,Packets,471.11,24,45,27,42,42,19786.62,19786.62,0
2023,July,KTC,Oil,Groceries,Packets,460.71,42,85,44,83,83,38238.93,38238.93,0
2023,August,KTC,Oil,Groceries,Packets,493.66,83,56,112,27,26,13328.82,12835.16,-493.66
2023,September,KTC,Oil,Groceries,Packets,480.7,26,80,38,68,68,32687.6,32687.6,0
2023,October,KTC,Oil,Groceries,Packets,460.1,68,71,80,59,60,27145.9,27606,460.1
2023,November,KTC,Oil,Groceries,Packets,456.28,60,30,24,66,64,30114.48,29201.92,-912.56
2023,December,KTC,Oil,Groceries,Packets,469,64,75,53,86,84,40334,39396,-938
2024,January,KTC,Oil,Groceries,Packets,476.01,84,74,92,66,65,31416.66,30940.65,-476.01
2024,February,KTC,Oil,Groceries,Packets,490.1,65,85,113,37,37,18133.7,18133.7,0
2024,March,KTC,Oil,Groceries,Packets,495.88,37,90,100,27,26,13388.76,12892.88,-495.88
2024,April,KTC,Oil,Groceries,Packets,493.38,26,37,54,9,9,4440.42,4440.42,0
2024,May,KTC,Oil,Groceries,Packets,498.99,9,76,75,10,11,4989.9,5488.89,498.99
2024,June,KTC,Oil,Groceries,Packets,463.29,11,57,42,26,27,12045.54,12508.83,463.29
2024,July,KTC,Oil,Groceries,Packets,474.07,27,55,33,49,49,23229.43,23229.43,0
2024,August,KTC,Oil,Groceries,Packets,464.07,49,36,22,63,65,29236.41,30164.55,928.14
2024,September,KTC,Oil,Groceries,Packets,492.24,65,47,57,55,55,27073.2,27073.2,0
2024,October,KTC,Oil,Groceries,Packets,470.96,55,93,108,40,42,18838.4,19780.32,941.92
2024,November,KTC,Oil,Groceries,Packets,470.01,42,68,76,34,32,15980.34,15040.32,-940.02
2024,December,KTC,Oil,Groceries,Packets,462.12,32,73,44,61,59,28189.32,27265.08,-924.24
2022,January,Margao,Oil,Groceries,Packets,480.3,62,97,157,2,2,960.6,960.6,0
2022,February,Margao,Oil,Groceries,Packets,482.93,2,47,34,15,15,7243.95,7243.95,0
2022,March,Margao,Oil,Groceries,Packets,477.62,15,63,66,12,10,5731.44,4776.2,-955.24
2022,April,Margao,Oil,Groceries,Packets,478.92,10,71,60,21,21,10057.32,10057.32,0
2022,May,Margao,Oil,Groceries,Packets,469.33,21,55,53,23,23,10794.59,10794.59,0
2022,June,Margao,Oil,Groceries,Packets,469,23,99,120,2,0,938,0,-938
2022,July,Margao,Oil,Groceries,Packets,463.35,0,51,40,11,12,5096.85,5560.2,463.35
2022,August,Margao,Oil,Groceries,Packets,469.44,12,33,30,15,16,7041.6,7511.04,469.44
2022,September,Margao,Oil,Groceries,Packets,465.62,16,53,28,41,43,19090.42,20021.66,931.24
2022,October,Margao,Oil,Groceries,Packets,454.51,43,60,59,44,44,19998.44,19998.44,0
2022,November,Margao,Oil,Groceries,Packets,498.8,44,35,21,58,58,28930.4,28930.4,0
2022,December,Margao,Oil,Groceries,Packets,498.19,58,33,25,66,67,32880.54,33378.73,498.19
2023,January,Margao,Oil,Groceries,Packets,464.33,67,80,81,66,64,30645.78,29717.12,-928.66
2023,February,Margao,Oil,Groceries,Packets,486.25,64,37,45,56,56,27230,27230,0
2023,March,Margao,Oil,Groceries,Packets,491.96,56,34,89,1,0,491.96,0,-491.96
2023,April,Margao,Oil,Groceries,Packets,467.46,0,48,39,9,7,4207.14,3272.22,-934.92
2023,May,Margao,Oil,Groceries,Packets,487.09,7,41,34,14,12,6819.26,5845.08,-974.18
2023,June,Margao,Oil,Groceries,Packets,481.11,12,93,57,48,48,23093.28,23093.28,0
2023,July,Margao,Oil,Groceries,Packets,476.14,48,32,52,28,29,13331.92,13808.06,476.14
2023,August,Margao,Oil,Groceries,Packets,468.07,29,39,24,44,46,20595.08,21531.22,936.14
2023,September,Margao,Oil,Groceries,Packets,478.18,46,31,32,45,44,21518.1,21039.92,-478.18
2023,October,Margao,Oil,Groceries,Packets,456.24,44,92,120,16,14,7299.84,6387.36,-912.48
2023,November,Margao,Oil,Groceries,Packets,488.23,14,44,43,15,16,7323.45,7811.68,488.23
2023,December,Margao,Oil,Groceries,Packets,471.65,16,78,88,6,7,2829.9,3301.55,471.65
2024,January,Margao,Oil,Groceries,Packets,487.55,7,79,28,58,57,28277.9,27790.35,-487.55
2024,February,Margao,Oil,Groceries,Packets,460.68,57,64,20,101,102,46528.68,46989.36,460.68
2024,March,Margao,Oil,Groceries,Packets,454.35,102,40,124,18,18,8178.3,8178.3,0
2024,April,Margao,Oil,Groceries,Packets,461.65,18,59,54,23,23,10617.95,10617.95,0
2024,May,Margao,Oil,Groceries,Packets,460.93,23,55,23,55,53,25351.15,24429.29,-921.86
2024,June,Margao,Oil,Groceries,Packets,493.8,53,47,59,41,43,20245.8,21233.4,987.6
2024,July,Margao,Oil,Groceries,Packets,486.02,43,61,70,34,34,16524.68,16524.68,0
2024,August,Margao,Oil,Groceries,Packets,466.4,34,52,82,4,6,1865.6,2798.4,932.8
2024,September,Margao,Oil,Groceries,Packets,479.54,6,46,20,32,34,15345.28,16304.36,959.08
2024,October,Margao,Oil,Groceries,Packets,470.32,34,82,70,46,48,21634.72,22575.36,940.64
2024,November,Margao,Oil,Groceries,Packets,457.62,48,35,22,61,63,27914.82,28830.06,915.24
2024,December,Margao,Oil,Groceries,Packets,486.82,63,71,83,51,51,24827.82,24827.82,0
2022,January,Porvorim,Oil,Groceries,Packets,493.87,64,62,113,13,15,6420.31,7408.05,987.74
2022,February,Porvorim,Oil,Groceries,Packets,479.33,15,58,57,16,14,7669.28,6710.62,-958.66
2022,March,Porvorim,Oil,Groceries,Packets,466.89,14,56,52,18,19,8404.02,8870.91,466.89
2022,April,Porvorim,Oil,Groceries,Packets,461.79,19,95,29,85,85,39252.15,39252.15,0
2022,May,Porvorim,Oil,Groceries,Packets,493.78,85,67,66,86,86,42465.08,42465.08,0
2022,June,Porvorim,Oil,Groceries,Packets,473.8,86,81,34,133,133,63015.4,63015.4,0
2022,July,Porvorim,Oil,Groceries,Packets,477.75,133,58,66,125,125,59718.75,59718.75,0
2022,August,Porvorim,Oil,Groceries,Packets,486.43,125,31,114,42,42,20430.06,20430.06,0
2022,September,Porvorim,Oil,Groceries,Packets,485.08,42,65,45,62,62,30074.96,30074.96,0
2022,October,Porvorim,Oil,Groceries,Packets,480.56,62,49,30,81,82,38925.36,39405.92,480.56
2022,November,Porvorim,Oil,Groceries,Packets,495.29,82,67,42,107,109,52996.03,53986.61,990.58
2022,December,Porvorim,Oil,Groceries,Packets,465.76,109,41,123,27,28,12575.52,13041.28,465.76
2023,January,Porvorim,Oil,Groceries,Packets,456.85,28,89,62,55,55,25126.75,25126.75,0
2023,February,Porvorim,Oil,Groceries,Packets,456.92,55,97,139,13,13,5939.96,5939.96,0
2023,March,Porvorim,Oil,Groceries,Packets,485.71,13,60,28,45,46,21856.95,22342.66,485.71
2023,April,Porvorim,Oil,Groceries,Packets,455.74,46,69,60,55,56,25065.7,25521.44,455.74
2023,May,Porvorim,Oil,Groceries,Packets,495.39,56,30,65,21,21,10403.19,10403.19,0
2023,June,Porvorim,Oil,Groceries,Packets,498.92,21,65,73,13,15,6485.96,7483.8,997.84
2023,July,Porvorim,Oil,Groceries,Packets,495.88,15,92,73,34,36,16859.92,17851.68,991.76
2023,August,Porvorim,Oil,Groceries,Packets,462.88,36,44,40,40,42,18515.2,19440.96,925.76
2023,September,Porvorim,Oil,Groceries,Packets,454.66,42,38,29,51,51,23187.66,23187.66,0
2023,October,Porvorim,Oil,Groceries,Packets,489.54,51,55,60,46,46,22518.84,22518.84,0
2023,November,Porvorim,Oil,Groceries,Packets,471,46,54,94,6,7,2826,3297,471
2023,December,Porvorim,Oil,Groceries,Packets,468.54,7,63,46,24,22,11244.96,10307.88,-937.08
2024,January,Porvorim,Oil,Groceries,Packets,479.99,22,88,70,40,41,19199.6,19679.59,479.99
2024,February,Porvorim,Oil,Groceries,Packets,460.45,41,81,89,33,33,15194.85,15194.85,0
2024,March,Porvorim,Oil,Groceries,Packets,495.59,33,78,48,63,65,31222.17,32213.35,991.18
2024,April,Porvorim,Oil,Groceries,Packets,465.27,65,55,47,73,72,33964.71,33499.44,-465.27
2024,May,Porvorim,Oil,Groceries,Packets,483.63,72,78,137,13,14,6287.19,6770.82,483.63
2024,June,Porvorim,Oil,Groceries,Packets,456.12,14,90,68,36,38,16420.32,17332.56,912.24
2024,July,Porvorim,Oil,Groceries,Packets,480.39,38,42,49,31,33,14892.09,15852.87,960.78
2024,August,Porvorim,Oil,Groceries,Packets,472.37,33,85,102,16,17,7557.92,8030.29,472.37
2024,September,Porvorim,Oil,Groceries,Packets,461.82,17,58,68,7,7,3232.74,3232.74,0
2024,October,Porvorim,Oil,Groceries,Packets,470.03,7,45,27,25,25,11750.75,11750.75,0
2024,November,Porvorim,Oil,Groceries,Packets,455.18,25,76,85,16,17,7282.88,7738.06,455.18
2024,December,Porvorim,Oil,Groceries,Packets,473.03,17,67,70,14,16,6622.42,7568.48,946.06
2022,January,Siolim,Oil,Groceries,Packets,460.71,53,58,74,37,39,17046.27,17967.69,921.42
2022,February,Siolim,Oil,Groceries,Packets,487.9,39,39,29,49,49,23907.1,23907.1,0
2022,March,Siolim,Oil,Groceries,Packets,482.7,49,84,111,22,21,10619.4,10136.7,-482.7
2022,April,Siolim,Oil,Groceries,Packets,493.31,21,37,20,38,36,18745.78,17759.16,-986.62
2022,May,Siolim,Oil,Groceries,Packets,462.62,36,88,91,33,34,15266.46,15729.08,462.62
2022,June,Siolim,Oil,Groceries,Packets,468.2,34,96,70,60,58,28092,27155.6,-936.4
2022,July,Siolim,Oil,Groceries,Packets,478.55,58,37,53,42,42,20099.1,20099.1,0
2022,August,Siolim,Oil,Groceries,Packets,463.63,42,61,65,38,38,17617.94,17617.94,0
2022,September,Siolim,Oil,Groceries,Packets,497.87,38,66,73,31,31,15433.97,15433.97,0
2022,October,Siolim,Oil,Groceries,Packets,471.4,31,84,67,48,47,22627.2,22155.8,-471.4
2022,November,Siolim,Oil,Groceries,Packets,452.68,47,36,52,31,33,14033.08,14938.44,905.36
2022,December,Siolim,Oil,Groceries,Packets,492.42,33,48,55,26,26,12802.92,12802.92,0
2023,January,Siolim,Oil,Groceries,Packets,472.11,26,31,20,37,39,17468.07,18412.29,944.22
2023,February,Siolim,Oil,Groceries,Packets,481.79,39,40,61,18,20,8672.22,9635.8,963.58
2023,March,Siolim,Oil,Groceries,Packets,470.13,20,41,39,22,22,10342.86,10342.86,0
2023,April,Siolim,Oil,Groceries,Packets,468.48,22,38,53,7,7,3279.36,3279.36,0
2023,May,Siolim,Oil,Groceries,Packets,466.07,7,53,36,24,23,11185.68,10719.61,-466.07
2023,June,Siolim,Oil,Groceries,Packets,478.98,23,88,106,5,3,2394.9,1436.94,-957.96
2023,July,Siolim,Oil,Groceries,Packets,475.13,3,43,28,18,17,8552.34,8077.21,-475.13
2023,August,Siolim,Oil,Groceries,Packets,482.2,17,51,62,6,7,2893.2,3375.4,482.2
2023,September,Siolim,Oil,Groceries,Packets,498.9,7,87,48,46,46,22949.4,22949.4,0
2023,October,Siolim,Oil,Groceries,Packets,484.95,46,66,94,18,19,8729.1,9214.05,484.95
2023,November,Siolim,Oil,Groceries,Packets,495.56,19,71,60,30,31,14866.8,15362.36,495.56
2023,December,Siolim,Oil,Groceries,Packets,455.25,31,66,44,53,54,24128.25,24583.5,455.25
2024,January,Siolim,Oil,Groceries,Packets,491.54,54,56,76,34,36,16712.36,17695.44,983.08
2024,February,Siolim,Oil,Groceries,Packets,493.64,36,69,31,74,74,36529.36,36529.36,0
2024,March,Siolim,Oil,Groceries,Packets,483.7,74,39,64,49,47,23701.3,22733.9,-967.4
2024,April,Siolim,Oil,Groceries,Packets,471.98,47,91,65,73,72,34454.54,33982.56,-471.98
2024,May,Siolim,Oil,Groceries,Packets,459.97,72,94,70,96,96,44157.12,44157.12,0
2024,June,Siolim,Oil,Groceries,Packets,480.76,96,55,48,103,103,49518.28,49518.28,0
2024,July,Siolim,Oil,Groceries,Packets,491.89,103,40,55,88,86,43286.32,42302.54,-983.78
2024,August,Siolim,Oil,Groceries,Packets,486.39,86,83,117,52,54,25292.28,26265.06,972.78
2024,September,Siolim,Oil,Groceries,Packets,483.64,54,51,88,17,15,8221.88,7254.6,-967.28
2024,October,Siolim,Oil,Groceries,Packets,464.9,15,49,38,26,26,12087.4,12087.4,0
2024,November,Siolim,Oil,Groceries,Packets,492.1,26,91,92,25,24,12302.5,11810.4,-492.1
2024,December,Siolim,Oil,Groceries,Packets,474.62,24,69,36,57,55,27053.34,26104.1,-949.24
2022,January,Baga,Chicken,Poultry and Meat,Pcs,400.08,138,71,44,165,167,66013.2,66813.36,800.16
2022,February,Baga,Chicken,Poultry and Meat,Pcs,375.42,167,73,198,42,43,15767.64,16143.06,375.42
2022,March,Baga,Chicken,Poultry and Meat,Pcs,372.65,43,41,38,46,46,17141.9,17141.9,0
2022,April,Baga,Chicken,Poultry and Meat,Pcs,376.04,46,78,80,44,42,16545.76,15793.68,-752.08
2022,May,Baga,Chicken,Poultry and Meat,Pcs,409.7,42,84,66,60,60,24582,24582,0
2022,June,Baga,Chicken,Poultry and Meat,Pcs,393.69,60,37,40,57,55,22440.33,21652.95,-787.38
2022,July,Baga,Chicken,Poultry and Meat,Pcs,398.28,55,99,44,110,109,43810.8,43412.52,-398.28
2022,August,Baga,Chicken,Poultry and Meat,Pcs,391.64,109,44,78,75,74,29373,28981.36,-391.64
2022,September,Baga,Chicken,Poultry and Meat,Pcs,374.47,74,55,66,63,62,23591.61,23217.14,-374.47
2022,October,Baga,Chicken,Poultry and Meat,Pcs,395.51,62,46,42,66,65,26103.66,25708.15,-395.51
2022,November,Baga,Chicken,Poultry and Meat,Pcs,394.71,65,36,33,68,70,26840.28,27629.7,789.42
2022,December,Baga,Chicken,Poultry and Meat,Pcs,399.79,70,38,67,41,40,16391.39,15991.6,-399.79
2023,January,Baga,Chicken,Poultry and Meat,Pcs,388.98,40,68,37,71,71,27617.58,27617.58,0
2023,February,Baga,Chicken,Poultry and Meat,Pcs,404.95,71,46,33,84,86,34015.8,34825.7,809.9
2023,March,Baga,Chicken,Poultry and Meat,Pcs,386.75,86,89,64,111,110,42929.25,42542.5,-386.75
2023,April,Baga,Chicken,Poultry and Meat,Pcs,407.14,110,72,127,55,57,22392.7,23206.98,814.28
2023,May,Baga,Chicken,Poultry and Meat,Pcs,384.81,57,33,44,46,46,17701.26,17701.26,0
2023,June,Baga,Chicken,Poultry and Meat,Pcs,396.99,46,45,61,30,30,11909.7,11909.7,0
2023,July,Baga,Chicken,Poultry and Meat,Pcs,381.58,30,84,61,53,52,20223.74,19842.16,-381.58
2023,August,Baga,Chicken,Poultry and Meat,Pcs,373.28,52,42,32,62,61,23143.36,22770.08,-373.28
2023,September,Baga,Chicken,Poultry and Meat,Pcs,409.26,61,68,65,64,64,26192.64,26192.64,0
